Dlgs,Article,Comma number,Comma content
82/2005,Art. 2,6.,"Le disposizioni del presente Codice non si applicano limitatamente all'esercizio delle attività e funzioni ... di ordine e sicurezza pubblica, difesa e sicurezza nazionale, polizia giudiziaria e polizia economico-finanziaria e consultazioni elettorali , nonché alle comunicazioni di emergenza e di allerta in ambito di protezione civile. Le disposizioni del presente Codice si applicano ... al processo civile, penale, amministrativo, contabile e tributario, in quanto compatibili e salvo che non sia diversamente disposto dalle disposizioni in materia di processo telematico."
82/2005,Art. 2,6-bis.,"Ferma restando l'applicabilità delle disposizioni del presente decreto agli atti di liquidazione, rettifica, accertamento e di irrogazione delle sanzioni di natura tributaria, con decreto del Presidente del Consiglio dei ministri o del Ministro delegato, adottato su proposta del Ministro dell'economia e delle finanze, sono stabiliti le modalità e i termini di applicazione delle disposizioni del presente Codice alle attività e funzioni ispettive e di controllo fiscale."
82/2005,Art. 3,1.,"Chiunque ha il diritto di usare , in modo accessibile ed efficace, le soluzioni e gli strumenti di cui al presente Codice nei rapporti con i soggetti di cui all'articolo 2, comma 2, anche ai fini dell'esercizio dei diritti di accesso e della partecipazione al procedimento amministrativo, fermi restando i diritti delle minoranze linguistiche riconosciute."
82/2005,Art. 3,1-bis.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2010-12-30;235"" target=""_blank"">D.LGS. 30 DICEMBRE 2010, N. 235</a>."
82/2005,Art. 3,1-ter.,"La tutela giurisdizionale davanti al giudice amministrativo è disciplinata dal <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2010-07-02;104"" target=""_blank"">codice del processo amministrativo</a>."
82/2005,Art. 3,1-quater.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2017-12-13;217"" target=""_blank"">D.LGS. 13 DICEMBRE 2017, N. 217</a>."
82/2005,Art. 3,1-quinquies.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2017-12-13;217"" target=""_blank"">D.LGS. 13 DICEMBRE 2017, N. 217</a>."
82/2005,Art. 3,1-sexies.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2017-12-13;217"" target=""_blank"">D.LGS. 13 DICEMBRE 2017, N. 217</a>."
82/2005,Art. 3-bis,01.,"Chiunque ha il diritto di accedere ai servizi on-line offerti dai soggetti di cui all'articolo 2, comma 2, tramite la propria identità digitale e anche attraverso il punto di accesso telematico di cui all'articolo 64-bis. (29)  1. I soggetti di cui all'articolo 2, comma 2, i professionisti tenuti all'iscrizione in albi ed elenchi e i soggetti tenuti all'iscrizione nel registro delle imprese hanno l'obbligo di dotarsi di un domicilio digitale iscritto nell'elenco di cui agli articoli 6-bis o 6-ter."
82/2005,Art. 3-bis,1-bis.,"Fermo restando quanto previsto al comma 1, chiunque ha facoltà di eleggere o modificare il proprio domicilio digitale da iscrivere nell'elenco di cui all'articolo 6-quater. Nel caso in cui il domicilio eletto risulti non più attivo si procede alla cancellazione d'ufficio dall'indice di cui all'articolo 6-quater secondo le modalità fissate nelle Linee guida."
82/2005,Art. 3-bis,1-ter.,"I domicili digitali di cui ai commi 1, 1-bis e 4-quinquies sono eletti secondo le modalità stabilite con le Linee guida. Le persone fisiche possono altresì eleggere il domicilio digitale avvalendosi del servizio di cui all'articolo 64-bis , di quello reso disponibile on-line dall'Anagrafe nazionale della popolazione residente (ANPR) di cui all'articolo 62, ovvero recandosi presso l'ufficio anagrafe del proprio comune di residenza."
82/2005,Art. 3-bis,1-quater.,"I soggetti di cui ai commi 1 e 1-bis hanno l'obbligo di fare un uso diligente del proprio domicilio digitale e di comunicare ogni modifica o variazione del medesimo secondo le modalità fissate nelle Linee guida. Con le stesse Linee guida, fermo restando quanto previsto ai commi 3-bis e 4-bis, sono definite le modalità di gestione e di aggiornamento dell'elenco di cui all'articolo 6-quater anche nei casi di decesso del titolare del domicilio digitale eletto o di impossibilità sopravvenuta di avvalersi del domicilio."
82/2005,Art. 3-bis,2.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2017-12-13;217"" target=""_blank"">D.LGS. 13 DICEMBRE 2017, N. 217</a>."
82/2005,Art. 3-bis,3.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>."
82/2005,Art. 3-bis,3-bis.,"Con decreto del Presidente del Consiglio dei ministri o del Ministro delegato per la semplificazione e la pubblica amministrazione, sentiti l'AgID e il Garante per la protezione dei dati personali e acquisito il parere della Conferenza unificata, è stabilita la data a decorrere dalla quale le comunicazioni tra i soggetti di cui all'articolo 2, comma 2, e coloro che non hanno provveduto a eleggere un domicilio digitale ai sensi del comma 1-bis, avvengono esclusivamente in forma elettronica. Con lo stesso decreto sono determinate le modalità con le quali ai predetti soggetti è attribuito un domicilio digitale ovvero altre modalità con le quali, anche per superare il divario digitale, i documenti possono essere messi a disposizione e consegnati a coloro che non hanno accesso ad un domicilio digitale."
82/2005,Art. 3-bis,4.,"A decorrere dal 1° gennaio 2013, salvo i casi in cui è prevista dalla normativa vigente una diversa modalità di comunicazione o di pubblicazione in via telematica, le amministrazioni pubbliche e i gestori o esercenti di pubblici servizi comunicano con il cittadino esclusivamente tramite il domicilio digitale dallo stesso dichiarato . Per la violazione della presente disposizione si applica l'articolo 18-bis. (28)"
82/2005,Art. 3-bis,4-bis.,"Fino alla data fissata nel decreto di cui al comma 3-bis, i soggetti di cui all'articolo 2, comma 2, possono predisporre le comunicazioni ai soggetti che non hanno un domicilio digitale ovvero nei casi di domicilio digitale non attivo, non funzionante o non raggiungibile, come documenti informatici sottoscritti con firma digitale o altra firma elettronica qualificata, da conservare nei propri archivi, ed inviare agli stessi, per posta ordinaria o raccomandata con avviso di ricevimento, copia analogica di tali documenti su cui è apposto a stampa il contrassegno di cui all'articolo 23, comma 2-bis o l'indicazione a mezzo stampa del responsabile pro tempore in sostituzione della firma autografa ai sensi dell'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1993-02-12;39~art3"" target=""_blank"">articolo 3 del decreto legislativo 12 febbraio 1993, n. 39</a> ovvero un avviso con le indicazioni delle modalità con le quali i suddetti documenti sono messi a disposizione e consegnati al destinatario."
82/2005,Art. 3-bis,4-ter.,"Le disposizioni di cui al comma 4-bis soddisfano a tutti gli effetti di legge gli obblighi di conservazione e di esibizione dei documenti previsti dalla legislazione vigente laddove la copia analogica inviata al cittadino contenga una dicitura che specifichi che il documento informatico, da cui la copia è tratta, è stato predisposto come documento nativo digitale ed è disponibile presso l'amministrazione. (28)"
82/2005,Art. 3-bis,4-quater.,"La copia analogica con l'indicazione a mezzo stampa del responsabile in sostituzione della firma autografa ai sensi dell'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1993-02-12;39~art3"" target=""_blank"">articolo 3 del decreto legislativo 12 febbraio 1993, n. 39</a>, soddisfa le condizioni di cui all'articolo 23, comma 2-bis, salvo i casi in cui il documento rappresenti, per propria natura, una certificazione rilasciata dall'amministrazione da utilizzarsi nei rapporti tra privati."
82/2005,Art. 3-bis,4-quinquies.,"È possibile eleggere anche un domicilio digitale speciale per determinati atti, procedimenti o affari. In tal caso, ferma restando la validità ai fini delle comunicazioni elettroniche aventi valore legale, colui che lo ha eletto non può opporre eccezioni relative alla forma e alla data della spedizione e del ricevimento delle comunicazioni o notificazioni ivi indirizzate."
82/2005,Art. 3-bis,5.,Dall'attuazione delle disposizioni di cui al presente articolo non devono derivare nuovi o maggiori oneri a carico della finanza pubblica.  (21)
82/2005,Art. 5,1.,"I soggetti di cui all'articolo 2, comma 2, sono obbligati ad accettare, tramite la piattaforma di cui al comma 2, i pagamenti spettanti a qualsiasi titolo attraverso sistemi di pagamento elettronico, ivi inclusi, per i micro-pagamenti, quelli basati sull'uso del credito telefonico. Tramite la piattaforma elettronica di cui al comma 2, resta ferma la possibilità di accettare anche altre forme di pagamento elettronico, senza discriminazione in relazione allo schema di pagamento abilitato per ciascuna tipologia di strumento di pagamento elettronico come definita ai sensi dell'articolo 2, punti 33), 34) e 35) del <a href=""http://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32015R0751"" target=""_blank"">regolamento UE 2015/751 del Parlamento europeo e del Consiglio del 29 aprile 2015</a> relativo alle commissioni interbancarie sulle operazioni di pagamento basate su carta."
82/2005,Art. 5,2.,"Al fine di dare attuazione al comma 1, la Presidenza del Consiglio dei ministri mette a disposizione, attraverso il Sistema pubblico di connettività, una piattaforma tecnologica per l'interconnessione e l'interoperabilità tra le pubbliche amministrazioni e i prestatori di servizi di pagamento abilitati, al fine di assicurare, attraverso gli strumenti di cui all'articolo 64, l'autenticazione dei soggetti interessati all'operazione in tutta la gestione del processo di pagamento. (29) (31) (34) (36)"
82/2005,Art. 5,2-bis.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legge:2021-11-06;152"" target=""_blank"">D.L. 6 NOVEMBRE 2021, N. 152</a>."
82/2005,Art. 5,2-ter.,"I soggetti di cui all'articolo 2, comma 2, consentono di effettuare pagamenti elettronici tramite la piattaforma di cui al comma 2 anche per il pagamento spontaneo di tributi di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legge:2016-10-22;193~art2bis"" target=""_blank"">articolo 2-bis del decreto-legge 22 ottobre 2016, n. 193</a>, convertito, con modificazioni dalla <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2016-12-01;225"" target=""_blank"">legge 1° dicembre 2016, n. 225</a>."
82/2005,Art. 5,2-quater.,"I prestatori di servizi di pagamento abilitati eseguono pagamenti a favore delle pubbliche amministrazioni attraverso l'utilizzo della piattaforma di cui al comma 2. Resta fermo il sistema dei versamenti unitari di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1997-07-09;241~art17"" target=""_blank"">articolo 17 e seguenti del decreto legislativo 9 luglio 1997, n. 241</a>, Capo III ...."
82/2005,Art. 5,2-quinquies.,"Tramite la piattaforma di cui al comma 2, le informazioni sui pagamenti sono messe a disposizione anche del Ministero dell'economia e delle finanze - Dipartimento Ragioneria generale dello Stato."
82/2005,Art. 5,2-sexies.,"La piattaforma tecnologica di cui al comma 2 può essere utilizzata anche per facilitare e automatizzare, attraverso i pagamenti elettronici, i processi di certificazione fiscale tra soggetti privati, tra cui la fatturazione elettronica e la memorizzazione e trasmissione dei dati dei corrispettivi giornalieri di cui agli <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2015-08-05;127~art1"" target=""_blank"">articoli 1</a> e <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2015-08-05;127~art2"" target=""_blank"">2 del decreto legislativo 5 agosto 2015, n. 127</a>."
82/2005,Art. 5,2-septies.,"Con decreto del Presidente del Consiglio dei Ministri o del Ministro delegato per l'innovazione tecnologica e la digitalizzazione, di concerto con il Ministro dell'economia e delle finanze, sono definite le regole tecniche di funzionamento della piattaforma tecnologica e dei processi di cui al comma 2-sexies."
82/2005,Art. 5,3.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>."
82/2005,Art. 5,3-bis.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>."
82/2005,Art. 5,3-ter.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>."
82/2005,Art. 5,4.,"L'Agenzia per l'Italia digitale, sentita la Banca d'Italia, definisce linee guida per l'attuazione del presente articolo e per la specifica dei codici identificativi del pagamento di cui al comma 1 e le modalità attraverso le quali il prestatore dei servizi di pagamento mette a disposizione dell'ente le informazioni relative al pagamento medesimo."
82/2005,Art. 5,5.,"Le attività previste dal presente articolo si svolgono con le risorse umane, finanziarie e strumentali disponibili a legislazione vigente."
82/2005,Art. 5-bis,1.,"La presentazione di istanze, dichiarazioni, dati e lo scambio di informazioni e documenti, anche a fini statistici, tra le imprese e le amministrazioni pubbliche avviene esclusivamente utilizzando le tecnologie dell'informazione e della comunicazione. Con le medesime modalità le amministrazioni pubbliche adottano e comunicano atti e provvedimenti amministrativi nei confronti delle imprese."
82/2005,Art. 5-bis,2.,"Con decreto del Presidente del Consiglio dei Ministri, su proposta del Ministro per la pubblica amministrazione e l'innovazione, di concerto con il Ministro dello sviluppo economico e con il Ministro per la semplificazione normativa, sono adottate le modalità di attuazione del comma 1 da parte delle pubbliche amministrazioni centrali e fissati i relativi termini."
82/2005,Art. 5-bis,3.,"AgID, anche avvalendosi degli uffici di cui all'articolo 17, provvede alla verifica dell'attuazione del comma 1 secondo le modalità e i termini indicati nel decreto di cui al comma 2."
82/2005,Art. 5-bis,4.,Il Governo promuove l'intesa con regioni ed enti locali in sede di Conferenza unificata per l'adozione degli indirizzi utili alla realizzazione delle finalità di cui al comma 1.
82/2005,Art. 6,1.,"Le comunicazioni tramite i domicili digitali sono effettuate agli indirizzi inseriti negli elenchi di cui agli articoli 6-bis, 6-ter e 6-quater, o a quello eletto come domicilio speciale per determinati atti o affari ai sensi dell'articolo 3-bis, comma 4-quinquies. Le comunicazioni elettroniche trasmesse ad uno dei domicili digitali di cui all'articolo 3-bis producono, quanto al momento della spedizione e del ricevimento, gli stessi effetti giuridici delle comunicazioni a mezzo raccomandata con ricevuta di ritorno ed equivalgono alla notificazione per mezzo della posta salvo che la legge disponga diversamente. Le suddette comunicazioni si intendono spedite dal mittente se inviate al proprio gestore e si intendono consegnate se rese disponibili al domicilio digitale del destinatario, salva la prova che la mancata consegna sia dovuta a fatto non imputabile al destinatario medesimo. La data e l'ora di trasmissione e ricezione del documento informatico sono opponibili ai terzi se apposte in conformità alle Linee guida."
