law_source,law_text,law_number,law_year
c.p.,"  Il cittadino, che, fuori dei casi indicati nei due articoli precedenti, commette in territorio estero un delitto per il quale la legge italiana stabilisce la pena di morte o l'ergastolo, o la reclusione non inferiore nel minimo a tre anni, è punito secondo la legge medesima, sempre che si trovi nel territorio dello Stato.(5)  Se si tratta di delitto per il quale è stabilita una pena restrittiva della libertà personale di minore durata, il colpevole è punito a richiesta del Ministro della giustizia, ovvero a istanza o a querela della persona offesa.  Nei casi preveduti dalle disposizioni precedenti, qualora si tratti di delitto commesso a danno delle Comunità europee, di uno Stato estero o di uno straniero, il colpevole è punito a richiesta del Ministro della giustizia, sempre che l'estradizione di lui non sia stata conceduta, ovvero non sia stata accettata dal Governo dello Stato in cui egli ha commesso il delitto.  Nei casi preveduti dalle disposizioni precedenti, la richiesta del Ministro della giustizia o l'istanza o la querela della persona offesa non sono necessarie per i delitti previsti dagli articoli 320, 321 ,... 346-bis , 648 e 648-ter.1. -------------AGGIORNAMENTO (5) Il D.Lgs. Luogotenenziale 10 agosto 1944, n. 224 ha disposto (con l'art. 1, commi 1 e 2) che ""Per i delitti preveduti nel Codice penale è soppressa la pena di morte.  Quando nelle disposizioni del detto Codice è comminata la pena di morte, in luogo di questa si applica la pena dell'ergastolo"". ",art. 9,
c.p.,"  Lo straniero, che, fuori dei casi indicati negli articoli 7 e 8, commette in territorio estero, a danno dello Stato o di un cittadino, un delitto per il quale la legge italiana stabilisce la pena di morte o l'ergastolo, o la reclusione non inferiore nel minimo a un anno, è punito secondo la legge medesima, sempre che si trovi nel territorio dello Stato, e vi sia richiesta del Ministro della giustizia, ovvero istanza o querela della persona offesa.(5)  Se il delitto è commesso a danno delle Comunità europee, di uno Stato estero o di uno straniero, il colpevole è punito secondo la legge italiana, a richiesta del Ministro della giustizia, sempre che:  1° si trovi nel territorio dello Stato;  2° si tratti di delitto per il quale è stabilita la pena di morte o dell'ergastolo, ovvero della reclusione non inferiore nel minimo a tre anni;(5)  3° l'estradizione di lui non sia stata conceduta, ovvero non sia stata accettata dal Governo dello Stato in cui egli ha commesso il delitto, o da quello dello Stato a cui egli appartiene.  La richiesta del Ministro della giustizia o l'istanza o la querela della persona offesa non sono necessarie per i delitti previsti dagli articoli 317, 318, 319, 319-bis, 319-ter, 319-quater, 320, 321, 322 e 322-bis. 352-------------AGGIORNAMENTO (5) Il D.Lgs. Luogotenenziale 10 agosto 1944, n. 224 ha disposto (con l'art. 1, commi 1 e 2) che ""Per i delitti preveduti nel Codice penale è soppressa la pena di morte.  Quando nelle disposizioni del detto Codice è comminata la pena di morte, in luogo di questa si applica la pena dell'ergastolo"". -------------AGGIORNAMENTO (352) La L. 21 febbraio 2024, n. 14, ha disposto (con l'art. 4, comma 6) che ""In deroga all'articolo 10 del codice penale, salvo che il reato sia commesso in danno di un cittadino albanese o dello Stato albanese, lo straniero sottoposto alle procedure di cui al comma 1 del presente articolo, che commette un delitto all'interno delle aree di cui all'articolo 1, paragrafo 1, lettera c), del Protocollo, è punito secondo la legge italiana, se vi è richiesta del Ministro della giustizia, fermo restando il regime di procedibilità previsto per il delitto. La richiesta del Ministro non è necessaria per i delitti puniti con la pena dell'ergastolo o della reclusione non inferiore nel minimo a tre anni"". ",art. 10,
c.p.,"  Alla sentenza penale straniera pronunciata per un delitto può essere dato riconoscimento:  1° per stabilire la recidiva o un altro effetto penale della condanna, ovvero per dichiarare l'abitualità o la professionalità nel reato o la tendenza a delinquere;  2° quando la condanna importerebbe, secondo la legge italiana, una pena accessoria;  3° quando, secondo la legge italiana, si dovrebbe sottoporre la persona condannata o prosciolta, che si trova nel territorio dello Stato, a misure di sicurezza personali;  4° quando la sentenza straniera porta condanna alle restituzioni o al risarcimento del danno, ovvero deve, comunque, esser fatta valere in giudizio nel territorio dello Stato, agli effetti delle restituzioni o del risarcimento del danno, o ad altri effetti civili.  Per farsi luogo al riconoscimento, la sentenza deve essere stata pronunciata dall'Autorità giudiziaria di uno Stato estero col quale esiste trattato di estradizione. Se questo non esiste, la sentenza estera può essere egualmente ammessa a riconoscimento nello Stato, qualora il Ministro della giustizia ne faccia richiesta. Tale richiesta non occorre se viene fatta istanza per il riconoscimento agli effetti indicati nel numero 4°. ",art. 12,
c.p.,"  Alla sentenza penale straniera pronunciata per un delitto può essere dato riconoscimento:  1° per stabilire la recidiva o un altro effetto penale della condanna, ovvero per dichiarare l'abitualità o la professionalità nel reato o la tendenza a delinquere;  2° quando la condanna importerebbe, secondo la legge italiana, una pena accessoria;  3° quando, secondo la legge italiana, si dovrebbe sottoporre la persona condannata o prosciolta, che si trova nel territorio dello Stato, a misure di sicurezza personali;  4° quando la sentenza straniera porta condanna alle restituzioni o al risarcimento del danno, ovvero deve, comunque, esser fatta valere in giudizio nel territorio dello Stato, agli effetti delle restituzioni o del risarcimento del danno, o ad altri effetti civili.  Per farsi luogo al riconoscimento, la sentenza deve essere stata pronunciata dall'Autorità giudiziaria di uno Stato estero col quale esiste trattato di estradizione. Se questo non esiste, la sentenza estera può essere egualmente ammessa a riconoscimento nello Stato, qualora il Ministro della giustizia ne faccia richiesta. Tale richiesta non occorre se viene fatta istanza per il riconoscimento agli effetti indicati nel numero 4°. ",art. 13,
c.p.,"  Quando la legge penale fa dipendere un effetto giuridico dal decorso del tempo, per il computo di questo si osserva il calendario comune.  Ogni qual volta la legge penale stabilisce un termine per il verificarsi di un effetto giuridico, il giorno della decorrenza non è computato nel termine. ",art. 14,
c.p.,"  Quando più leggi penali o più disposizioni della medesima legge penale regolano la stessa materia, la legge o la disposizione di legge speciale deroga alla legge o alla disposizione di legge generale, salvo che sia altrimenti stabilito. ",art. 15,
c.p.,"  Quando la legge penale fa dipendere un effetto giuridico dal decorso del tempo, per il computo di questo si osserva il calendario comune.  Ogni qual volta la legge penale stabilisce un termine per il verificarsi di un effetto giuridico, il giorno della decorrenza non è computato nel termine. ",art. 16,
c.p.,"  Le pene principali stabilite per i delitti sono:  1° NUMERO SOPPRESSO DAL D.LGS. LUOGOTENZIALE 10 AGOSTO 1944, N. 224;  2° l'ergastolo; 139  3° la reclusione;  4° la multa.  Le pene principali stabilite per le contravvenzioni sono:  1° l'arresto;  2° l'ammenda. -------------AGGIORNAMENTO (139) La Corte Costituzionale con sentenza 27-28 aprile 1994, n. 168 (in G.U. 1ª s.s. 04/05/1994, n. 19) ha dichiarato ""l'illegittimità costituzionale degli artt. 17 e 22 del codice penale nella parte in cui non escludono l'applicazione della pena dell'ergastolo al minore imputabile"". ",art. 17,
c.p.,"  Le pene accessorie per i delitti sono:  1) l'interdizione dai pubblici uffici;  2) l'interdizione da una professione o da un'arte;  3) l'interdizione legale;  4) l'interdizione dagli uffici direttivi delle persone giuridiche e delle imprese;  5) l'incapacità di contrattare con la pubblica amministrazione;  5-bis) l'estinzione del rapporto di impiego o di lavoro; (177)  6) la decadenza o la sospensione dall'esercizio della responsabilità genitoriale.  Le pene accessorie per le contravvenzioni sono:  1) la sospensione dall'esercizio di una professione o di un'arte;  2) la sospensione dagli uffici direttivi delle persone giuridiche e delle imprese.  Pena accessoria comune ai delitti e alle contravvenzioni è la pubblicazione della sentenza penale di condanna.  La legge penale determina gli altri casi in cui pene accessorie stabilite per i delitti sono comuni alle contravvenzioni. -----------AGGIORNAMENTO (177) La L. 27 marzo 2001, n. 97 ha disposto (con l'art. 10, comma 1) che ""Le disposizioni della presente legge si applicano ai procedimenti penali, ai giudizi civili e amministrativi e ai procedimenti disciplinari in corso alla data di entrata in vigore della legge stessa"". ",art. 19,
c.p.,". Salvo quanto previsto da particolari disposizioni di legge, le pene sostitutive della reclusione e dell'arresto sono disciplinate dal Capo III della legge 24 novembre 1981, n. 689, e sono le seguenti:  1) la semilibertà sostitutiva;  2) la detenzione domiciliare sostitutiva;  3) il lavoro di pubblica utilità sostitutivo;  4) la pena pecuniaria sostitutiva.  La semilibertà sostitutiva e la detenzione domiciliare sostitutiva possono essere applicate dal giudice in caso di condanna alla reclusione o all'arresto non superiori a quattro anni.  Il lavoro di pubblica utilità sostitutivo può essere applicato dal giudice in caso di condanna alla reclusione o all'arresto non superiori a tre anni.  La pena pecuniaria sostitutiva può essere applicata dal giudice in caso di condanna alla reclusione o all'arresto non superiori a un anno.",art. 20 bis,
c.p.," Art. 21. ARTICOLO DA RITENERSI SOPPRESSO A SEGUITO DELL'ABOLIZIONE DELLA PENA DI MORTE DISPOSTA DAL D.LGS. LUOGOTENZIALE 10 AGOSTO 1944, N. 224",art. 21,
c.p.,"  La pena dell'ergastolo è perpetua, ed è scontata in uno degli stabilimenti a ciò destinati, con l'obbligo del lavoro e con l'isolamento notturno.  Il condannato all'ergastolo può essere ammesso al lavoro all'aperto.  COMMA ABROGATO DALLA L. 25 NOVEMBRE 1962, N. 1634.  COMMA ABROGATO DALLA L. 25 NOVEMBRE 1962, N. 1634. 139-------------AGGIORNAMENTO (139) La Corte Costituzionale con sentenza 27-28 aprile 1994, n. 168 (in G.U. 1ª s.s. 04/05/1994, n. 19) ha dichiarato ""l'illegittimità costituzionale degli artt. 17 e 22 del codice penale nella parte in cui non escludono l'applicazione della pena dell'ergastolo al minore imputabile"". ",art. 22,
c.p.,"  La pena della reclusione si estende da quindici giorni a ventiquattro anni, ed è scontata in uno degli stabilimenti a ciò destinati, con l'obbligo del lavoro e con l'isolamento notturno.  Il condannato alla reclusione, che ha scontato almeno un anno della pena, può essere ammesso al lavoro all'aperto.  Sono applicabili alla pena della reclusione le disposizioni degli ultimi due capoversi dell'articolo precedente. ",art. 23,
c.p.,"  La pena della multa consiste nel pagamento allo Stato di una somma non inferiore a euro 50, né superiore a euro 50.000.  Per i delitti determinati da motivi di lucro, se la legge stabilisce soltanto la pena della reclusione, il giudice può aggiungere la multa da euro 50 a euro 25.000. ",art. 24,
c.p.,  La pena dell'ammenda consiste nel pagamento allo Stato di una somma non inferiore a euro 20né superiore a euro 10.000. ,art. 26,
c.p.,"  L'interdizione dai pubblici uffici è perpetua o temporanea.  L'interdizione perpetua dai pubblici uffici, salvo che dalla legge sia altrimenti disposto, priva il condannato:  1° del diritto di elettorato o di eleggibilità in qualsiasi comizio elettorale, e di ogni altro diritto politico;  2° di ogni pubblico ufficio, di ogni incarico non obbligatorio di pubblico servizio, e della qualità ad essi inerente di pubblico ufficiale o d'incaricato di pubblico servizio;  3° dell'ufficio di tutore o di curatore, anche provvisorio, e di ogni altro ufficio attinente alla tutela o alla cura;  4° dei gradi e delle dignità accademiche, dei titoli, delle decorazioni o di altre pubbliche insegne onorifiche;  5° degli stipendi, delle pensioni e degli assegni che siano a carico dello Stato o di un altro ente pubblico;(34) 41  6° di ogni diritto onorifico, inerente a qualunque degli uffici, servizi, gradi o titoli e delle qualità, dignità e decorazioni indicati nei numeri precedenti;  7° della capacità di assumere o di acquistare qualsiasi diritto, ufficio, servizio, qualità, grado, titolo, dignità, decorazione e insegna onorifica, indicati nei numeri precedenti.  L'interdizione temporanea priva il condannato della capacità di acquistare o di esercitare o di godere, durante l'interdizione, i predetti diritti, uffici, servizi, qualità, gradi, titoli e onorificenze.(34)  Essa non può avere una durata inferiore a un anno, né superiore a cinque.  La legge determina i casi nei quali l'interdizione dai pubblici uffici è limitata ad alcuni di questi. ---------------AGGIORNAMENTO (34) La Corte Costituzionale con sentenza 7 - 13 gennaio 1966 n. 3, (in G.U. 1ª s.s. 15/01/1966, n. 12) ha dichiarato l'illegittimità costituzionale dell'art. 28, secondo comma, n. 5, del Codice penale, limitatamente alla parte in cui i diritti in esso previsti traggono titolo da un rapporto di lavoro e, a norma dell'art. 27 della legge 11 marzo 1953, n. 87, l'illegittimità costituzionale del terzo comma dello stesso art. 28 del Codice penale, nei medesimi limiti. ---------------AGGIORNAMENTO (41) La Corte Costituzionale con sentenza 2 - 19 luglio 1968 n. 113, (in G.U. 1ª s.s. 20/07/1968, n. 184) ha dichiarato l'illegittimità costituzionale dell'art. 28, secondo comma n. 5, del Codice penale, per quanto attiene alle pensioni di guerra. ",art. 28,
c.p.,"  L'interdizione da una professione o da un'arte priva il condannato della capacità di esercitare, durante l'interdizione, una professione, arte, industria, o un commercio o mestiere, per cui è richiesto uno speciale permesso o una speciale abilitazione, autorizzazione o licenza dell'Autorità, e importa la decadenza dal permesso o dall'abilitazione, autorizzazione, o licenza anzidetti.  L'interdizione da una professione o da un'arte non può avere una durata inferiore a un mese, né superiore a cinque anni, salvi i casi espressamente stabiliti dalla legge. ",art. 30,
c.p.,"  Il condannato all'ergastolo è in stato d'interdizione legale.  La condanna all'ergastolo importa anche la decadenza dalla responsabilità genitoriale.  Il condannato alla reclusione per un tempo non inferiore a cinque anni è, durante la pena, in stato d'interdizione legale; la condanna produce altresì, durante la pena, la sospensione dall'esercizio della responsabilità genitoriale, salvo che il giudice disponga altrimenti.  Alla interdizione legale si applicano, per ciò che concerne la disponibilità, e l'amministrazione dei beni, nonché la rappresentanza negli atti ad esse relativi, le norme della legge civile sulla interdizione giudiziale. ",art. 32,
c.p.,".  L'interdizione dagli uffici direttivi delle persone giuridiche e delle imprese priva il condannato della capacità di esercitare, durante l'interdizione, l'ufficio di amministratore, sindaco, liquidatore , direttore generale e dirigente preposto alla redazione dei documenti contabili societari, nonché ogni altro ufficio con potere di rappresentanza della persona giuridica o dell'imprenditore.  Essa consegue ad ogni condanna alla reclusione non inferiore a sei mesi per delitti commessi con abuso dei poteri o violazione dei doveri inerenti all'ufficio. ",art. 32 bis,
c.p.,".  L'incapacità di contrattare con la pubblica amministrazione importa il divieto di concludere contratti con la pubblica amministrazione, salvo che per ottenere le prestazioni di un pubblico servizio.  Essa non può avere durata inferiore ad un anno né superiore a cinque anni. ",art. 32 ter,
c.p.,".  Ogni condanna per i delitti previsti dagli articoli 314, primo comma, 316-bis, 316-ter, 317, 318, 319, 319-bis, 319-ter, 319-quater, 320, 321, 322, 322-bis, 346-bis, 353, 355, 356, 416, 416-bis, ... 437, 452-bis, 452-quater, 452-sexies, 452-septies, 452-quaterdecies, 501, 501-bis, 640, secondo comma, numero 1, 640-bis e 644, commessi in danno o a vantaggio di un'attività imprenditoriale o comunque in relazione ad essa, importa l'incapacità di contrattare con la pubblica amministrazione. ",art. 32 quater,
c.p.,".  Salvo quanto previsto dagli articoli 29 e 31, la condanna alla reclusione per un tempo non inferiore a due anni per i delitti di cui agli articoli 314, primo comma, 317, 318, 319, 319-ter, 319-quater, primo comma, e 320 importa altresì l'estinzione del rapporto di lavoro o di impiego nei confronti del dipendente di amministrazioni od enti pubblici ovvero di enti a prevalente partecipazione pubblica. (177) ------------AGGIORNAMENTO (177) La L. 27 marzo 2001, n. 97 ha disposto (con l'art. 10, comma 1) che ""Le disposizioni della presente legge si applicano ai procedimenti penali, ai giudizi civili e amministrativi e ai procedimenti disciplinari in corso alla data di entrata in vigore della legge stessa"". ",art. 32 quinquies,
c.p.,".  La legge determina i casi nei quali la condanna importa la decadenza dalla responsabilità genitoriale.  La condanna per delitti commessi con abuso della responsabilità genitoriale importa la sospensione dall'esercizio di essa per un periodo di tempo pari al doppio della pena inflitta.  La decadenza dalla responsabilità genitoriale importa anche la privazione di ogni diritto che al genitore spetti sui beni del figlio in forza della responsabilità genitoriale di cui al titolo IX del libro I del codice civile.  La sospensione dall'esercizio della responsabilità genitoriale importa anche l'incapacità di esercitare, durante la sospensione, qualsiasi diritto che al genitore spetti sui beni del figlio in base alle norme del titolo IX del libro I del codice civile.  Nelle ipotesi previste dai commi precedenti, quando sia concessa la sospensione condizionale della pena, gli atti del procedimento vengono trasmessi al tribunale dei minorenni, che assume i provvedimenti più opportuni nell'interesse dei minori. ",art. 34,
c.p.,"  La sospensione dall'esercizio di una professione o di un'arte priva il condannato della capacità di esercitare, durante la sospensione, una professione, arte, industria, o un commercio o mestiere, per i quali è richiesto uno speciale permesso o una speciale abilitazione, autorizzazione o licenza dell'Autorità.  La sospensione dall'esercizio di una professione o di un'arte non può avere una durata inferiore a tre mesi, né superiore a tre anni.  Essa consegue a ogni condanna per contravvenzione, che sia commessa con abuso della professione, arte, industria, o del commercio o mestiere, ovvero con violazione dei doveri ad essi inerenti, quando la pena inflitta non è inferiore a un anno d'arresto. ",art. 35,
c.p.,".  La sospensione dall'esercizio degli uffici direttivi delle persone giuridiche e delle imprese priva il condannato della capacità di esercitare, durante la sospensione, l'ufficio di amministratore, sindaco, liquidatore , direttore generale e dirigente preposto alla redazione dei documenti contabili societari, nonché ogni altro ufficio con potere di rappresentanza della persona giuridica o dell'imprenditore.  Essa non può avere una durata inferiore a quindici giorni né superiore a due anni e consegue ad ogni condanna all'arresto per contravvenzioni commesse con abuso dei poteri o violazione dei doveri inerenti all'ufficio. ",art. 35 bis,
c.p.,"  La sospensione dall'esercizio di una professione o di un'arte priva il condannato della capacità di esercitare, durante la sospensione, una professione, arte, industria, o un commercio o mestiere, per i quali è richiesto uno speciale permesso o una speciale abilitazione, autorizzazione o licenza dell'Autorità.  La sospensione dall'esercizio di una professione o di un'arte non può avere una durata inferiore a tre mesi, né superiore a tre anni.  Essa consegue a ogni condanna per contravvenzione, che sia commessa con abuso della professione, arte, industria, o del commercio o mestiere, ovvero con violazione dei doveri ad essi inerenti, quando la pena inflitta non è inferiore a un anno d'arresto. ",art. 36,
c.p.,"  Quando la legge stabilisce che la condanna importa una pena accessoria temporanea, e la durata di questa non è espressamente determinata, la pena accessoria ha una durata eguale a quella della pena principale inflitta, o che dovrebbe scontarsi, nel caso di conversione, per insolvibilità del condannato. Tuttavia, in nessun caso essa può oltrepassare il limite minimo e quello massimo stabiliti per ciascuna specie di pena accessoria. ",art. 37,
c.p.,"  I reati si distinguono in delitti e contravvenzioni, secondo la diversa specie delle pene per essi rispettivamente stabilite da questo codice. ",art. 39,
c.p.,"  Nessuno può essere punito per un fatto preveduto dalla legge come reato, se l'evento dannoso o pericoloso, da cui dipende la esistenza del reato, non è conseguenza della sua azione od omissione.  Non impedire un evento, che si ha l'obbligo giuridico di impedire, equivale a cagionarlo. ",art. 40,
c.p.,"  Il concorso di cause preesistenti o simultanee o sopravvenute, anche se indipendenti dall'azione od omissione del colpevole, non esclude il rapporto di causalità fra l'azione od omissione e l'evento.  Le cause sopravvenute escludono il rapporto di causalità quando sono state da sole sufficienti a determinare l'evento. In tal caso, se l'azione od omissione precedentemente commessa costituisce per sé un reato, si applica la pena per questo stabilita.  Le disposizioni precedenti si applicano anche quando la causa preesistente o simultanea o sopravvenuta consiste nel fatto illecito altrui. ",art. 41,
c.p.,"  Nessuno può essere punito per un'azione od omissione preveduta dalla legge come reato, se non l'ha commessa con coscienza e volontà.  Nessuno può essere punito per un fatto preveduto dalla legge come delitto, se non l'ha commesso con dolo, salvi i casi di delitto preterintenzionale o colposo espressamente preveduti dalla legge.  La legge determina i casi nei quali l'evento è posto altrimenti a carico dell'agente, come conseguenza della sua azione od omissione.  Nelle contravvenzioni ciascuno risponde della propria azione od omissione cosciente e volontaria, sia essa dolosa o colposa. ",art. 42,
c.p.,"  Il delitto:  è doloso, o secondo l'intenzione, quando l'evento dannoso o pericoloso, che è il risultato dell'azione od omissione e da cui la legge fa dipendere l'esistenza del delitto, è dall'agente preveduto e voluto come conseguenza della propria azione od omissione;  è preterintenzionale, o oltre l'intenzione, quando dall'azione od omissione deriva un evento dannoso o pericoloso più grave di quello voluto dall'agente;  è colposo, o contro l'intenzione, quando l'evento, anche se preveduto, non è voluto dall'agente e si verifica a causa di negligenza o imprudenza o imperizia, ovvero per inosservanza di leggi, regolamenti, ordini o discipline.  La distinzione tra reato doloso e reato colposo, stabilita da questo articolo per i delitti, si applica altresì alle contravvenzioni, ogni qualvolta per queste la legge penale faccia dipendere da tale distinzione un qualsiasi effetto giuridico. ",art. 43,
c.p.,  Non è punibile chi ha commesso il fatto per caso fortuito o per forza maggiore. ,art. 45,
c.p.,"  Non è punibile chi ha commesso il fatto per esservi stato da altri costretto, mediante violenza fisica alla quale non poteva resistere o comunque sottrarsi.  In tal caso, del fatto commesso dalla persona costretta risponde l'autore della violenza. ",art. 46,
c.p.,"  L'errore sul fatto che costituisce il reato esclude la punibilità dell'agente. Nondimeno, se si tratta di errore determinato da colpa, la punibilità non è esclusa, quando il fatto è preveduto dalla legge come delitto colposo.  L'errore sul fatto che costituisce un determinato reato non esclude la punibilità per un reato diverso.  L'errore su una legge diversa dalla legge penale esclude la punibilità, quando ha cagionato un errore sul fatto che costituisce il reato. ",art. 47,
c.p.,"  Non è punibile chi ha commesso il fatto per esservi stato da altri costretto, mediante violenza fisica alla quale non poteva resistere o comunque sottrarsi.  In tal caso, del fatto commesso dalla persona costretta risponde l'autore della violenza. ",art. 48,
c.p.,"  Non è punibile chi commette un fatto non costituente reato, nella supposizione erronea che esso costituisca reato.  La punibilità è altresì esclusa quando, per la inidoneità dell'azione o per la inesistenza dell'oggetto di essa, è impossibile l'evento dannoso o pericoloso.  Nei casi preveduti dalle disposizioni precedenti, se concorrono nel fatto gli elementi costitutivi di un reato diverso, si applica la pena stabilita per il reato effettivamente commesso.  Nel caso indicato nel primo capoverso, il giudice può ordinare che l'imputato prosciolto sia sottoposto a misura di sicurezza. ",art. 49,
