law_source,law_number,reference_id,question_plh,law_text,year,question,answer_1,answer_2,answer_3
c.p.,32,234.0,"L'incapacitÃ di contrattare con la pubblica amministrazione importa il divieto di concludere contratti con la pubblica amministrazione, salvo che per ottenere ex {PLH}","(Interdizione legale)  Il condannato all'ergastolo è in stato d'interdizione legale.  La condanna all'ergastolo importa anche la decadenza dalla responsabilità genitoriale.  Il condannato alla reclusione per un tempo non inferiore a cinque anni è, durante la pena, in stato d'interdizione legale; la condanna produce altresì, durante la pena, la sospensione dall'esercizio della responsabilità genitoriale, salvo che il giudice disponga altrimenti.  Alla interdizione legale si applicano, per ciò che concerne la disponibilità, e l'amministrazione dei beni, nonché la rappresentanza negli atti ad esse relativi, le norme della legge civile sulla interdizione giudiziale.",,"L'incapacitÃ di contrattare con la pubblica amministrazione importa il divieto di concludere contratti con la pubblica amministrazione, salvo che per ottenere ex art. 32-ter c.p.:",le prestazioni di un pubblico servizio,la partecipazione a gare d'appalto che si tengono oltre il periodo di termine della misura,la riscossione dei crediti esigibili dovuti dalla P.A.
c.p.,47,235.0,L'errore sul fatto che costituisce un determinato reato ex {PLH}non esclude:,"(Errore di fatto)  L'errore sul fatto che costituisce il reato esclude la punibilità dell'agente. Nondimeno, se si tratta di errore determinato da colpa, la punibilità non è esclusa, quando il fatto è preveduto dalla legge come delitto colposo.  L'errore sul fatto che costituisce un determinato reato non esclude la punibilità per un reato diverso.  L'errore su una legge diversa dalla legge penale esclude la punibilità, quando ha cagionato un errore sul fatto che costituisce il reato.",,L'errore sul fatto che costituisce un determinato reato ex art. 47 c.p. non esclude:,la punibilitÃ per un reato diverso,"la punibilitÃ quando, per un errore determinato da dolo, il fatto Ã¨ preveduto dalla legge come delitto colposo","la punibilitÃ di chi ha commesso il fatto per esservi stato costretto da coniuge, parente o affine fino al 2Â° grado pur potendo sottrarsi"
c.p.,51,236.0,Ai sensi dell'{PLH}se un fatto costituente reato Ã¨ commesso per ordine dell'AutoritÃ :,"(Esercizio di un diritto o adempimento di un dovere)  L'esercizio di un diritto o l'adempimento di un dovere imposto da una norma giuridica o da un ordine legittimo della pubblica Autorità, esclude la punibilità.  Se un fatto costituente reato è commesso per ordine dell'Autorità, del reato risponde sempre il pubblico ufficiale che ha dato l'ordine.  Risponde del reato altresì chi ha eseguito l'ordine, salvo che, per errore di fatto, abbia ritenuto di obbedire a un ordine legittimo.  Non è punibile chi esegue l'ordine illegittimo, quando la legge non gli consente alcun sindacato sulla legittimità dell'ordine.",,Ai sensi dell'art. 51 c.p. se un fatto costituente reato Ã¨ commesso per ordine dell'AutoritÃ :,del reato risponde sempre il pubblico ufficiale che ha dato l'ordine,del reato risponde il pubblico ufficiale che ha dato l'ordine e gli altri ufficiali o incaricati di pubblico servizio che hanno assistito o partecipato in maniera attiva o omissiva,del reato risponde il pubblico ufficiale che ha dato l'ordine e il suo superiore
c.p.,56,237.0,Il colpevole di delitto tentato Ã¨ punito ex {PLH},"(Delitto tentato)  Chi compie atti idonei, diretti in modo non equivoco a commettere un delitto, risponde di delitto tentato, se l'azione non si compie o l'evento non si verifica.  Il colpevole di delitto tentato è punito: con la reclusione da ventiquattro a trenta anni, se dalla legge è stabilita per il delitto la pena di morte; con la reclusione non inferiore a dodici anni, se la pena stabilita è l'ergastolo; e, negli altri casi, con la pena stabilita per il delitto, diminuita da un terzo a due terzi. 5  Se il colpevole volontariamente desiste dall'azione, soggiace soltanto alla pena per gli atti compiuti, qualora questi costituiscano per sé un reato diverso.  Se volontariamente impedisce l'evento, soggiace alla pena stabilita per il delitto tentato, diminuita da un terzo alla metà.",,Il colpevole di delitto tentato Ã¨ punito ex art. 56 c.p.:,"con la reclusione non inferiore a dodici anni, se la pena stabilita Ã¨ l'ergastolo","se la pena stabilita non Ã¨ l'ergastolo, con la pena stabilita per il delitto diminuita di un terzo","se la pena stabilita non Ã¨ l'ergastolo, con la pena stabilita per il delitto diminuita della metÃ "
c.p.,59,238.0,Ai sensi dell'{PLH}le circostanze che aggravano la pena sono valutate a carico dell'agente:,"(Circostanze non conosciute o erroneamente supposte) Le circostanze che attenuano o escludono la pena sono valutate a favore dell'agente anche se da lui non conosciute, o da lui per errore ritenute inesistenti.  Le circostanze che aggravano la pena sono valutate a carico dell'agente soltanto se da lui conosciute ovvero ignorate per colpa o ritenute inesistenti per errore determinato da colpa.  Se l'agente ritiene per errore che esistano circostanze aggravanti o attenuanti, queste non sono valutate contro o a favore di lui.  Se l'agente ritiene per errore che esistano circostanze di esclusione della pena, queste sono sempre valutate a favore di lui.Tuttavia, se si tratta di errore determinato da colpa, la punibilità non è esclusa, quando il fatto è preveduto dalla legge come delitto colposo.",,Ai sensi dell'art. 59 c.p. le circostanze che aggravano la pena sono valutate a carico dell'agente:,soltanto se da lui conosciute ovvero ignorate per colpa o ritenute inesistenti per errore determinato da colpa,anche se da lui conosciute ovvero ignorate per forza maggiore o caso fortuito,anche se da lui ignorate ovvero ignorate per colpa o ritenute inesistenti per errore determinato da atti di terzi
c.p.,61,239.0,Quale delle seguenti circostanze aggrava il reato ex {PLH},"(Circostanze aggravanti comuni)  Aggravano il reato, quando non ne sono elementi costitutivi o circostanze aggravanti speciali, le circostanze seguenti:  1° l'avere agito per motivi abietti o futili;  2° l'aver commesso il reato per eseguirne od occultarne un altro, ovvero per conseguire o assicurare a sé o ad altri il prodotto o il profitto o il prezzo ovvero la impunità di un altro reato;  3° l'avere, nei delitti colposi, agito nonostante la previsione dell'evento;  4° l'avere adoperato sevizie, o l'aver agito con crudeltà verso le persone;  5) l'avere profittato di circostanze di tempo, di luogo o di persona, anche in riferimento all'età, tali da ostacolare la pubblica o privata difesa;  6° l'avere il colpevole commesso il reato durante il tempo, in cui si è sottratto volontariamente alla esecuzione di un mandato o di un ordine di arresto o di cattura o di carcerazione, spedito per un precedente reato;  7° l'avere, nei delitti contro il patrimonio, o che comunque offendono il patrimonio, ovvero nei delitti determinati da motivi di lucro, cagionato alla persona offesa dal reato un danno patrimoniale di rilevante gravità;  8° l'avere aggravato o tentato di aggravare le conseguenze del delitto commesso;  9° l'avere commesso il fatto con abuso dei poteri, o con violazione dei doveri inerenti a una pubblica funzione o a un pubblico servizio, ovvero alla qualità di ministro di un culto;  10° l'avere commesso il fatto contro un pubblico ufficiale o una persona incaricata di un pubblico servizio, o rivestita della qualità di ministro del culto cattolico o di un culto ammesso nello Stato, ovvero contro un agente diplomatico o consolare di uno Stato estero, nell'atto o a causa dell'adempimento delle funzioni o del servizio;  11° l'avere commesso il fatto con abuso di autorità o di relazioni domestiche, ovvero con abuso di relazioni di ufficio, di prestazione d'opera, di coabitazione, o di ospitalità.  11-bis. l'avere il colpevole commesso il fatto mentre si trova illegalmente sul territorio nazionale.(217) (223)  11-ter) l'aver commesso un delitto contro la persona ai danni di un soggetto minore all'interno o nelle adiacenze di istituti di istruzione o di formazione.  11-quater. l'avere il colpevole commesso un delitto non colposo durante il periodo in cui era ammesso ad una misura alternativa alla detenzione in carcere.  11-quinquies) l'avere, nei delitti non colposi contro la vita e l'incolumità individuale e contro la libertà personale, commesso il fatto in presenza o in danno di un minore di anni diciotto ovvero in danno di persona in stato di gravidanza.  11-sexies) l'avere, nei delitti non colposi, commesso il fatto in danno di persone ricoverate presso strutture sanitarie o presso strutture sociosanitarie residenziali o semiresidenziali, pubbliche o private, ovvero presso strutture socio-educative.  11-septies) l'avere commesso il fatto in occasione o a causa di manifestazioni sportive o durante i trasferimenti da o verso i luoghi in cui si svolgono dette manifestazioni.  11-octies) l'avere agito, nei delitti commessi con violenza o minaccia, in danno degli esercenti le professioni sanitarie e socio-sanitarie nonché di chiunque svolga attività ausiliarie di cura, assistenza sanitaria o soccorso, funzionali allo svolgimento di dette professioni, a causa o nell'esercizio di tali professioni o attività. 11-novies) l'avere agito, nei delitti commessi con violenza o minaccia, in danno di un dirigente scolastico o di un membro del personale docente, educativo, amministrativo, tecnico o ausiliario della scuola, a causa o nell'esercizio delle loro funzioni.",,Quale delle seguenti circostanze aggrava il reato ex art. 61 c.p.?,"l'avere profittato di circostanze di tempo, di luogo o di persona, anche in riferimento all'etÃ , tali da ostacolare la pubblica o privata difesa","l'avere, nei delitti dolosi, agito nonostante la previsione dell'evento","l'avere il colpevole commesso il reato durante il tempo, in cui si Ã¨ sottratto anche involontariamente alla esecuzione di un mandato di comparizione o perquisizione"
c.p.,62,240.0,Quale delle seguenti circostanze attenua il reato ex {PLH},"(Circostanze attenuanti comuni)  Attenuano il reato, quando non ne sono elementi costitutivi o circostanze attenuanti speciali, le circostanze seguenti:  1° l'avere agito per motivi di particolare valore morale o sociale;  2° l'aver reagito in stato di ira, determinato da un fatto ingiusto altrui;  3° l'avere agito per suggestione di una folla in tumulto, quando non si tratta di riunioni o assembramenti vietati dalla legge o dall'Autorità, e il colpevole non è delinquente o contravventore abituale o professionale, o delinquente per tendenza;  4) l'avere, nei delitti contro il patrimonio, o che comunque offendono il patrimonio, cagionato alla persona offesa dal reato un danno patrimoniale di speciale tenuità, ovvero, nei delitti determinati da motivi di lucro, l'avere agito per conseguire o l'avere comunque conseguito un lucro di speciale tenuità, quando anche l'evento dannoso o pericoloso sia di speciale tenuità;  5° l'essere concorso a determinare l'evento, insieme con l'azione o l'omissione del colpevole, il fatto doloso della persona offesa;  6° l'avere, prima del giudizio, riparato interamente il danno, mediante il risarcimento di esso, e, quando sia possibile, mediante le restituzioni; o l'essersi, prima del giudizio e fuori del caso preveduto nell'ultimo capoverso dell'articolo 56, adoperato spontaneamente ed efficacemente per elidere o attenuare le conseguenze dannose o pericolose del reato ; o l'avere partecipato a un programma di giustizia riparativa con la vittima del reato, concluso con un esito riparativo. Qualora l'esito riparativo comporti l'assunzione da parte dell'imputato di impegni comportamentali, la circostanza è valutata solo quando gli impegni sono stati rispettati.",,Quale delle seguenti circostanze attenua il reato ex art. 62 c.p.?,"l'avere, nei delitti contro il patrimonio, cagionato alla persona offesa dal reato un danno patrimoniale di speciale tenuitÃ ",l'avere agito per motivi di particolare valore culturale o religioso,l'avere agito per suggestione di un capo religioso o politico
c.p.,65,241.0,"Quando ricorre una circostanza attenuante, e non Ã¨ dalla legge determinata la diminuzione di pena, ex {PLH}","(Diminuzione di pena nel caso di una sola circostanza attenuante)   Quando ricorre una circostanza attenuante, e non è dalla legge determinata la diminuzione di pena, si osservano le norme seguenti:   1° alla pena di morte è sostituita la reclusione da ventiquattro a trenta anni; 5  2° alla pena dell'ergastolo è sostituita la reclusione da venti a ventiquattro anni;  3° le altre pene sono diminuite in misura non eccedente un terzo.",,"Quando ricorre una circostanza attenuante, e non Ã¨ dalla legge determinata la diminuzione di pena, ex art. 65 c.p.:",le altre pene sono diminuite in misura non eccedente un terzo,alla pena dell'ergastolo Ã¨ sostituita la reclusione da venti a ventidue anni,le altre pene sono diminuite in misura non eccedente due terzi
c.p.,70,242.0,Agli effetti della legge penale tra le circostanze oggettive ex {PLH}quale di questi elementi Ã¨ compreso?,"(Circostanze oggettive e soggettive)  Agli effetti della legge penale:  1° sono circostanze oggettive quelle che concernono la natura, la specie, i mezzi, l'oggetto, il tempo, il luogo e ogni altra modalità, dell'azione, la gravità del danno o del pericolo, ovvero le condizioni o le qualità personali dell'offeso;  2° sono circostanze soggettive quelle che concernono la intensità del dolo o il grado della colpa, o le condizioni e le qualità personali del colpevole, o i rapporti fra il colpevole e l'offeso, ovvero che sono inerenti alla persona del colpevole.  Le circostanze inerenti alla persona del colpevole riguardano la imputabilità e la recidiva.",,Agli effetti della legge penale tra le circostanze oggettive ex art. 70 c.p. quale di questi elementi Ã¨ compreso?,QualitÃ personali dell'offeso,IntensitÃ del dolo,QualitÃ personali del colpevole
c.p.,99,243.0,"Chi, dopo essere stato condannato per un delitto non colposo, ne commette un altro, puÃ² essere sottoposto ad un aumento di un terzo della pena da infliggere per il nuovo delitto non colposo. La pena ex {PLH}puÃ² essere aumentata fino alla metÃ :","(Recidiva).  Chi, dopo essere stato condannato per un delitto non colposo, ne commette un altro, può essere sottoposto ad un aumento di un terzo della pena da infliggere per il nuovo delitto non colposo.  La pena può essere aumentata fino alla metà:  1) se il nuovo delitto non colposo è della stessa indole;  2) se il nuovo delitto non colposo è stato commesso nei cinque anni dalla condanna precedente;  3) se il nuovo delitto non colposo è stato commesso durante o dopo l'esecuzione della pena, ovvero durante il tempo in cui il condannato si sottrae volontariamente all'esecuzione della pena.  Qualora concorrano più circostanze fra quelle indicate al secondo comma, l'aumento di pena è della metà.  Se il recidivo commette un altro delitto non colposo, l'aumento della pena, nel caso di cui al primo comma, è della metà e, nei casi previsti dal secondo comma, è di due terzi.  Se si tratta di uno dei delitti indicati all'articolo 407, comma 2, lettera a), del codice di procedura penale, l'aumento della pena per la recidiva è obbligatorio e, nei casi indicati al secondo comma, non può essere inferiore ad un terzo della pena da infliggere per il nuovo delitto. 261  In nessun caso l'aumento di pena per effetto della recidiva può superare il cumulo delle pene risultante dalle condanne precedenti alla commissione del nuovo delitto non colposo.",,"Chi, dopo essere stato condannato per un delitto non colposo, ne commette un altro, puÃ² essere sottoposto ad un aumento di un terzo della pena da infliggere per il nuovo delitto non colposo. La pena ex art. 99 c.p. puÃ² essere aumentata fino alla metÃ :",se il nuovo delitto non colposo Ã¨ stato commesso nei cinque anni dalla condanna precedente,se il nuovo delitto non doloso Ã¨ della stessa indole,se il nuovo delitto non colposo Ã¨ stato commesso durante o dopo l'esecuzione delle misure cautelari
c.p.,104,244.0,PuÃ² essere dichiarato contravventore abituale ex {PLH},"(Abitualità nelle contravvenzioni)  Chi, dopo essere stato condannato alla pena dell'arresto per tre contravvenzioni della stessa indole, riporta condanna per un'altra contravvenzione, anche della stessa indole, è dichiarato contravventore abituale, se il giudice, tenuto conto della specie e gravità dei reati, del tempo entro il quale sono stati commessi, della condotta e del genere di vita del colpevole e delle altre circostanze indicate nel capoverso dell'articolo 133, ritiene che il colpevole sia dedito al reato.",,PuÃ² essere dichiarato contravventore abituale ex art. 104 c.p.:,"chi, dopo essere stato condannato alla pena dell'arresto per tre contravvenzioni della stessa indole, riporta condanna per un'altra contravvenzione","chi, dopo essere stato condannato alla pena dell'arresto o ammenda per tre contravvenzioni della stessa indole, riporta condanna per un'altra contravvenzione o delitto","chi, dopo essere stato condannato alla pena dell'arresto per due contravvenzioni della stessa indole, riporta condanna per un'altra contravvenzione o delitto"
c.p.,109,245.0,La dichiarazione di abitualitÃ o di professionalitÃ nel reato puÃ² essere pronunciata ex {PLH},"(Effetti della dichiarazione di abitualità, professionalità o tendenza a delinquere)  Oltre gli aumenti di pena stabiliti per la recidiva e i particolari effetti indicati da altre disposizioni di legge, la dichiarazione di abitualità o di professionalità nel reato o di tendenza a delinquere importa l'applicazione di misure di sicurezza.  La dichiarazione di abitualità o di professionalità nel reato può essere pronunciata in ogni tempo, anche dopo la esecuzione della pena; ma se è pronunciata dopo la sentenza di condanna, non si tien conto della successiva condotta del colpevole e rimane ferma la pena inflitta.  La dichiarazione di tendenza a delinquere non può essere pronunciata che con la sentenza di condanna.  La dichiarazione di abitualità e professionalità nel reato e quella di tendenza a delinquere si estinguono per effetto della riabilitazione.",,La dichiarazione di abitualitÃ o di professionalitÃ nel reato puÃ² essere pronunciata ex art. 109 c.p.:,"in ogni tempo, anche dopo la esecuzione della pena",entro 60 giorni dopo la esecuzione della pena,fino alla esecuzione della pena
c.p.,109,246.0,La dichiarazione di abitualitÃ e professionalitÃ nel reato e quella di tendenza a delinquere si estinguono ex {PLH}per effetto:,"(Effetti della dichiarazione di abitualità, professionalità o tendenza a delinquere)  Oltre gli aumenti di pena stabiliti per la recidiva e i particolari effetti indicati da altre disposizioni di legge, la dichiarazione di abitualità o di professionalità nel reato o di tendenza a delinquere importa l'applicazione di misure di sicurezza.  La dichiarazione di abitualità o di professionalità nel reato può essere pronunciata in ogni tempo, anche dopo la esecuzione della pena; ma se è pronunciata dopo la sentenza di condanna, non si tien conto della successiva condotta del colpevole e rimane ferma la pena inflitta.  La dichiarazione di tendenza a delinquere non può essere pronunciata che con la sentenza di condanna.  La dichiarazione di abitualità e professionalità nel reato e quella di tendenza a delinquere si estinguono per effetto della riabilitazione.",,La dichiarazione di abitualitÃ e professionalitÃ nel reato e quella di tendenza a delinquere si estinguono ex art. 109 c.p. per effetto:,della riabilitazione,del perdono giudiziale,della oblazione
