Source,Article,Comma number,Comma content
c.p.p.,Art. 10,3.,"3. Se il reato è stato commesso in parte all'estero, la competenza è determinata a norma degli articoli 8 e 9."
c.p.p.,Art. 11,1.,"1. I procedimenti in cui un magistrato assume la qualità di persona sottoposta ad indagini, di imputato ovvero di persona offesa o danneggiata dal reato, che secondo le norme di questo capo sarebbero attribuiti alla competenza di un ufficio giudiziario compreso nel distretto di corte d'appello in cui il magistrato esercita le proprie funzioni o le esercitava al momento del fatto, sono di competenza del giudice, ugualmente competente per materia, che ha sede nel capoluogo del distretto di corte di appello determinato dalla legge."
c.p.p.,Art. 11,2.,"2. Se nel distretto determinato ai sensi del comma 1 il magistrato stesso è venuto ad esercitare le proprie funzioni in un momento successivo a quello del fatto, è competente il giudice che ha sede nel capoluogo del diverso distretto di corte d'appello determinato ai sensi del medesimo comma 1."
c.p.p.,Art. 11,3.,"3. I procedimenti connessi a quelli in cui un magistrato assume la qualità di persona sottoposta ad indagini, di imputato ovvero di persona offesa o danneggiata dal reato sono di competenza del medesimo giudice individuato a norma del comma 1"
c.p.p.,Art. 11-bis,1.,"1. I procedimenti in cui assume la qualità di persona sottoposta ad indagini, di imputato ovvero di persona offesa o danneggiata dal reato un magistrato addetto alla Direzione nazionale antimafia di cui all'articolo 76- bis dell'ordinamento giudiziario, approvato con regio decreto 30 gennaio 1941, n. 12, e successive modificazioni, sono di competenza del giudice determinato ai sensi dell'articolo 11"
c.p.p.,Art. 12,1.,"1. Si ha connessione di procedimenti:
a) se il reato per cui si procede è stato commesso da più persone in concorso o cooperazione fra loro, o se più persone con condotte indipendenti hanno determinato l'evento;
b) se una persona è imputata di più reati commessi con una sola azione od omissione ovvero con più azioni od omissioni esecutive di un medesimo disegno criminoso;
c) se dei reati per cui si procede gli uni sono stati commessi per eseguire o per occultare gli altri (( . . . ))"
c.p.p.,Art. 13,1.,"1. Se alcuni dei procedimenti connessi appartengono alla competenza di un giudice ordinario e altri a quella della Corte costituzionale, è competente per tutti quest'ultima."
c.p.p.,Art. 13,2.,"2. Fra reati comuni e reati militari, la connessione di procedimenti opera soltanto quando il reato comune è più grave di quello militare, avuto riguardo ai criteri previsti dall'articolo 16 comma 3. In tale caso, la competenza per tutti i reati è del giudice ordinario."
c.p.p.,Art. 14,1.,1. La connessione non opera fra procedimenti relativi a imputati che al momento del fatto erano minorenni e procedimenti relativi a imputati maggiorenni.
c.p.p.,Art. 14,2.,"2. La connessione non opera, altresì, fra procedimenti per reati commessi quando l'imputato era minorenne e procedimenti per reati commessi quando era maggiorenne."
c.p.p.,Art. 15,1.,"1. Se alcuni dei procedimenti connessi appartengono alla competenza della corte di assise ed altri a quella del tribunale, è competente per tutti la corte di assise. (90) ((90a))"
c.p.p.,Art. 16,1.,"1. La competenza per territorio per i procedimenti connessi rispetto ai quali più giudici sono ugualmente competenti per materia appartiene al giudice competente per il reato più grave e, in caso di pari gravità, al giudice competente per il primo reato."
c.p.p.,Art. 16,2.,"2. Nel caso previsto dall'articolo 12 comma 1 lettera a) se le azioni od omissioni sono state commesse in luoghi diversi e se dal fatto è derivata la morte di una persona, è competente il giudice del luogo in cui si è verificato l'evento."
c.p.p.,Art. 16,3.,"3. I delitti si considerano più gravi delle contravvenzioni. Fra delitti o fra contravvenzioni si considera più grave il reato per il quale è prevista la pena più elevata nel massimo ovvero, in caso di parità dei massimi, la pena più elevata nel minimo; se sono previste pene detentive e pene pecuniarie, di queste si tiene conto solo in caso di parità delle pene detentive."
c.p.p.,Art. 17,1.,"1. La riunione di processi pendenti nello stesso stato e grado davanti al medesimo giudice può essere disposta ((quando non determini un ritardo nella definizione degli stessi)):
a) nei casi previsti dall'articolo 12;
b) LETTERA SOPPRESSA DAL D.L. 20 NOVEMBRE 1991, N. 367, CONVERTITO CON MODIFICAZIONI DALLA L. 20 GENNAIO 1992, N. 8.
((
c) nei casi previsti dall'articolo 371, comma 2, lettera b).
))"
c.p.p.,Art. 17,1-bis.,"1-bis. Se alcuni dei processi pendono davanti al tribunale collegiale ed altri davanti al tribunale monocratico, la riunione è disposta davalti al tribunale in composizione collegiale. Tale composizione resta ferma anche nel caso di successiva separazione dei processi. (90) (90a)"
c.p.p.,Art. 18,1.,"1. La separazione di processi è disposta, salvo che il giudice ritenga la riunione assolutamente necessaria per l'accertamento dei fatti:
a) se, nell'udienza preliminare, nei confronti di uno o più imputati o per una o più imputazioni è possibile pervenire prontamente alla decisione, mentre nei confronti di altri imputati o per altre imputazioni è necessario acquisire ulteriori informazioni a norma dell'articolo 422;
b) se nei confronti di uno o più imputati o per una o più imputazioni è stata ordinata la sospensione del procedimento;
c) se uno o più imputati non sono comparsi al dibattimento per nullità dell'atto di citazione o della sua notificazione, per legittimo impedimento o per mancata conoscenza incolpevole dell'atto di citazione;
d) se uno o più difensori di imputati non sono comparsi al dibattimento per mancato avviso ovvero per legittimo impedimento;
e) se nei confronti di uno o più imputati o per una o più imputazioni l'istruzione dibattimentale risulta conclusa, mentre nei confronti di altri imputati o per altre imputazioni è necessario il compimento di ulteriori atti che non consentono di pervenire prontamente alla decisione;
((e-bis) se uno o più imputati dei reati previsti dall'articolo 407, comma 2, lettera a), è prossimo ad essere rimesso in libertà per scadenza dei termini per la mancanza di altri titoli di detenzione))."
c.p.p.,Art. 18,2.,"2. Fuori dei casi previsti dal comma 1, la separazione può essere altresì disposta, sull'accordo delle parti, qualora il giudice la ritenga utile ai fini della speditezza del processo."
c.p.p.,Art. 19,1.,"1. La riunione e la separazione di processi sono disposte con ordinanza, anche di ufficio, sentite le parti."
c.p.p.,Art. 20,1.,"1. Il difetto di giurisdizione è rilevato, anche di ufficio, in ogni stato e grado del procedimento."
c.p.p.,Art. 20,2.,"2. Se il difetto di giurisdizione è rilevato nel corso delle indagini preliminari, si applicano le disposizioni previste dall'articolo 22 commi 1 e 2. Dopo la chiusura delle indagini preliminari e in ogni stato e grado del processo il giudice pronuncia sentenza e ordina, se del caso, la trasmissione degli atti all'autorità competente."
c.p.p.,Art. 21,1.,"1. L'incompetenza per materia è rilevata, anche di ufficio, in ogni stato e grado del processo, salvo quanto previsto dal comma 3 e dall'articolo 23 comma 2."
c.p.p.,Art. 21,2.,"2. L'incompetenza per territorio è rilevata o eccepita, a pena di decadenza, prima della conclusione dell'udienza preliminare o, se questa manchi, entro il termine previsto dall'articolo 491 comma 1.
Entro quest'ultimo termine deve essere riproposta l'eccezione di incompetenza respinta nell'udienza preliminare."
c.p.p.,Art. 21,3.,"3. L'incompetenza derivante da connessione è rilevata o eccepita, a pena di decadenza, entro i termini previsti dal comma 2."
c.p.p.,Art. 22,1.,"1. Nel corso delle indagini preliminari il giudice, se riconosce la propria incompetenza per qualsiasi causa, pronuncia ordinanza e dispone la restituzione degli atti al pubblico ministero."
c.p.p.,Art. 22,2.,2. L'ordinanza pronunciata a norma del comma 1 produce effetti limitatamente al provvedimento richiesto.
c.p.p.,Art. 22,3.,"3. Dopo la chiusura delle indagini preliminari il giudice, se riconosce la propria incompetenza per qualsiasi causa, la dichiara con sentenza e ordina la trasmissione degli atti al pubblico ministero presso il giudice competente."
c.p.p.,Art. 23,1.,"1. Se nel dibattimento di primo grado il giudice ritiene che il processo appartiene alla competenza di altro giudice, dichiara con sentenza la propria incompetenza per qualsiasi causa e ordina la trasmissione degli atti al giudice competente. (45) ((70))"
c.p.p.,Art. 23,2.,"2. Se il reato appartiene alla cognizione di un giudice di competenza inferiore, l'incompetenza è rilevata o eccepita, a pena di decadenza, entro il termine stabilito dall'articolo 491 comma 1.
Il giudice, se ritiene la propria incompetenza, provvede a norma del comma 1."
c.p.p.,Art. 23,1.,"1. Se nel dibattimento di primo grado il giudice ritiene che il processo appartiene alla competenza di altro giudice, dichiara con sentenza la propria incompetenza per qualsiasi causa e ordina la trasmissione degli atti al giudice competente. (45) ((70))"
c.p.p.,Art. 23,2.,"2. Se il reato appartiene alla cognizione di un giudice di competenza inferiore, l'incompetenza è rilevata o eccepita, a pena di decadenza, entro il termine stabilito dall'articolo 491 comma 1.
Il giudice, se ritiene la propria incompetenza, provvede a norma del comma 1."
c.p.p.,Art. 24-bis,1.,"1. Prima della conclusione dell'udienza preliminare o, se questa manchi, entro il termine previsto dall'articolo 491, comma 1, la questione concernente la competenza per territorio può essere rimessa, anche di ufficio, alla Corte di cassazione. Entro il termine previsto dall'articolo 491, comma 1, può essere altresì rimessa alla Corte di cassazione la questione concernente la competenza per territorio riproposta ai sensi dell'articolo 21, comma 2."
c.p.p.,Art. 24-bis,2.,"2. Il giudice, nei casi di cui al comma 1, pronuncia ordinanza con la quale rimette alla Corte di cassazione gli atti necessari alla risoluzione della questione, con l'indicazione delle parti e dei difensori."
c.p.p.,Art. 24-bis,3.,"3. La Corte di cassazione decide in camera di consiglio secondo le forme previste dall'articolo 127 e, se dichiara l'incompetenza del giudice che procede, ordina la trasmissione degli atti al pubblico ministero presso il giudice competente."
c.p.p.,Art. 24-bis,4.,"4. L'estratto della sentenza è immediatamente comunicato al giudice che ha rimesso la questione e, quando diverso, al giudice competente, nonché al pubblico ministero presso i medesimi giudici ed è notificato alle parti private."
c.p.p.,Art. 24-bis,5.,5. Il termine previsto dall'articolo 27 decorre dalla comunicazione effettuata a norma del comma 4.
c.p.p.,Art. 24-bis,6.,"6. La parte che ha eccepito l'incompetenza per territorio, senza chiedere contestualmente la rimessione della decisione alla Corte di cassazione, non può più riproporre l'eccezione nel corso del procedimento."
c.p.p.,Art. 26,1.,1. L'inosservanza delle norme sulla competenza non produce l'inefficacia delle prove già acquisite.
c.p.p.,Art. 26,2.,"2. Le dichiarazioni rese al giudice incompetente per materia, se ripetibili, sono utilizzabili soltanto nell'udienza preliminare e per le contestazioni a norma degli articoli 500 e 503."
c.p.p.,Art. 27,1.,"1. Le misure cautelari disposte dal giudice che, contestualmente o successivamente, si dichiara incompetente per qualsiasi causa cessano di avere effetto se, entro venti giorni dalla ordinanza di trasmissione degli atti, il giudice competente non provvede a norma degli articoli 292, 317 e 321."
c.p.p.,Art. 28,1.,"1. Vi è conflitto quando in qualsiasi stato e grado del processo:
a) uno o più giudici ordinari e uno o più giudici speciali
contemporaneamente prendono o ricusano di prendere cognizione del medesimo fatto attribuito alla stessa persona;
b) due o più giudici ordinari contemporaneamente prendono o ricusano di prendere cognizione del medesimo fatto attribuito alla stessa persona."
c.p.p.,Art. 28,2.,"2. Le norme sui conflitti si applicano anche nei casi analoghi a quelli previsti dal comma 1. Tuttavia, qualora il contrasto sia tra giudice dell'udienza preliminare e giudice del dibattimento, prevale la decisione di quest'ultimo."
c.p.p.,Art. 28,3.,"3. Nel corso delle indagini preliminari, non può essere proposto conflitto positivo fondato su ragioni di competenza per territorio determinata dalla connessione."
c.p.p.,Art. 29,1.,"1. I conflitti previsti dall'articolo 28 cessano per effetto del provvedimento di uno dei giudici che dichiara, anche di ufficio, la propria competenza o la propria incompetenza."
c.p.p.,Art. 30,1.,1. Il giudice che rileva un caso di conflitto pronuncia ordinanza con la quale rimette alla corte di cassazione copia degli atti necessari alla sua risoluzione con l'indicazione delle parti e dei difensori.
c.p.p.,Art. 30,2.,"2. Il conflitto può essere denunciato dal pubblico ministero presso uno dei giudici in conflitto ovvero dalle parti private. La denuncia è presentata nella cancelleria di uno dei giudici in conflitto, con dichiarazione scritta e motivata alla quale è unita la documentazione necessaria. Il giudice trasmette immediatamente alla corte di cassazione la denuncia e la documentazione nonché copia degli atti necessari alla risoluzione del conflitto, con l'indicazione delle parti e dei difensori e con eventuali osservazioni."
c.p.p.,Art. 30,3.,3. L'ordinanza e la denuncia previste dai commi 1 e 2 non hanno effetto sospensivo sui procedimenti in corso.
c.p.p.,Art. 31,1.,1. Il giudice che ha pronunciato l'ordinanza o ricevuto la denuncia previste dall'articolo 30 ne dà immediata comunicazione al giudice in conflitto.
c.p.p.,Art. 31,2.,"2. Questi trasmette immediatamente alla corte di cassazione copia degli atti necessari alla risoluzione del conflitto, con l'indicazione delle parti e dei difensori e con eventuali osservazioni."
c.p.p.,Art. 32,1.,"1. I conflitti sono decisi dalla corte di cassazione con sentenza in camera di consiglio secondo le forme previste dall'articolo 127.
La corte assume le informazioni e acquisisce gli atti e i documenti che ritiene necessari."
c.p.p.,Art. 32,2.,2. L'estratto della sentenza è immediatamente comunicato ai giudici in conflitto e al pubblico ministero presso i medesimi giudici ed è notificato alle parti private.
c.p.p.,Art. 32,3.,"3. Si applicano le disposizioni degli articoli 25, 26 e 27, ma il termine previsto da quest'ultimo articolo decorre dalla comunicazione effettuata a norma del comma 2."
c.p.p.,Art. 33,1.,1. Le condizioni di capacità del giudice e il numero dei giudici necessario per costituire i collegi sono stabiliti dalle leggi di ordinamento giudiziario.
c.p.p.,Art. 33,2.,"2. Non si considerano attinenti alla capacità del giudice le disposizioni sulla destinazione del giudice agli uffici giudiziari e alle sezioni, sulla formazione dei collegi e sulla assegnazione dei processi a sezioni, collegi e giudici."
c.p.p.,Art. 33,3.,3. Non si considerano altresì attinenti alla capacità del giudice né al numero dei giudici necessario per costituire l'organo giudicante le disposizioni sull'attribuzione degli affari penali al tribunale collegiale o monocratico. (90) ((90a))
c.p.p.,Art. 33-bis,1.,"1. Sono attribuiti al tribunale in composizione collegiale i seguenti reati, consumati o tentati:
a) delitti indicati nell'articolo 407, comma 2, lettera a), numeri 3), 4) e 5), sempre che per essi non sia stabilita la competenza della corte di assise;
b) delitti previsti dal capo I dei titolo II del libro II del codice penale, esclusi quelli indicati dagli articoli 329, 331, primo comma, 332, 334 e 335;
c) delitti previsti dagli articoli 416, 416-bis, 416-ter, 420, terzo comma, 429, secondo comma, 431, secondo comma, 432, terzo comma, 433, terzo comma, 433-bis, secondo comma, 440, 449, secondo comma, 452, primo comma, numero 2, 513- bis, 564, da 600-bis a 600-sexies puniti con reclusione non inferiore nel massimo a cinque anni, 609-bis, 609-quater e 644 del codice penale;
d) reati previsti dal Titolo XI del libro V del codice civile, nonché dalle disposizioni che ne estendono l'applicazione a soggetti diversi da quelli in essi indicati;
e) delitti previsti dall'articolo 1136 del codice della navigazione;
f) delitti previsti dagli articoli 6 e 11 della legge costituzionale 16 gennaio 1989, n. 1;
g) delitti previsti dagli articoli 216, 223, 228 e 234 del regio decreto 16 marzo 1942, n. 267, in materia fallimentare, nonché dalle disposizioni che ne estendono l'applicazione a soggetti diversi da quelli in essi indicati;
h) delitti previsti dall'articolo 1 del decreto legislativo 14 febbraio 1948, n. 43, ratificato dalla legge 17 aprile 1956, n. 561 in materia di associazioni di carattere militare;
i) delitti previsti dalla legge 20 giugno 1952, n. 645, attuativa della XII disposizione transitoria e finale della Costituzione;
i-bis) delitti previsti dall'articolo 291-quater del testo unico approvato con decreto del Presidente della Repubblica 23 gennaio 1973, n. 43.
((
l) delitto previsto dall'articolo 593-ter del codice penale;
))
m) delitto previsto dall'articolo 2 della legge 25 gennaio 1982, n. 17, in materia di associazioni segrete;
n) delitto previsto dall'articolo 29 secondo comma, della legge 13 settembre 1982, n. 646, in materia di misure di prevenzione;
((
o) delitto previsto dall'articolo 512-bis del codice penale;
))
p) delitti previsti dall'articolo 6, commi 3 e 4, del decreto-legge 26 aprile 1993, n. 122, convertito, con modificazione, dalla legge 25 giugno 1993, n. 205, in materia di discriminazione razziale, etnica e religiosa;
q) delitti previsti dall'articolo 10 della legge 18 novembre 1995, n. 496, in materia di produzione e uso di armi chimiche."
c.p.p.,Art. 33-bis,2.,"2. Sono attribuiti altresì al tribunale in composizione collegiale, salva la disposizione dell'articolo 33-ter, comma 1, i delitti puniti con la pena della reclusione superiore nel massimo a dieci anni, anche nell'ipotesi del tentativo. Per la determinazione della pena si osservano le disposizioni dell'articolo 4."
c.p.p.,Art. 33-ter,1.,"1. Sono attribuiti al tribunale in composizione monocratica i delitti previsti dall'articolo 73 del testo unico approvato con decreto del Presidente della Repubblica 9 ottobre 1990, n. 309, sempre che non siano contestate le aggravanti di cui all'articolo 80, (( . . . )), del medesimo testo unico."
c.p.p.,Art. 33-ter,2.,"2. Il tribunale giudica in composizione monocratica, altresì, in tutti i casi non previsti dall'articolo 33-bis o da altre disposizioni di legge."
c.p.p.,Art. 33-quater,1.,"1. Se alcuni dei procedimenti connessi appartengono alla cognizione del tribunale in composizione collegiale ed altri a quella del tribunale in composizione monocratica, si applicano le disposizioni relative al procedimento davanti al giudice collegiale, al quale sono attribuiti tutti i procedimenti connessi. (90) ((90a))"
c.p.p.,Art. 33-quinquies,1.,"1. L'inosservanza delle disposizioni relative all'attribuzione dei reati alla cognizione del tribunale in composizione collegiale o monocratica e delle disposizioni processuali collegate è rilevata o eccepita, a pena di decadenza, prima della conclusione dell'udienza preliminare o, se questa manca, entro il ter-mine previsto dall'articolo 491 comma 1. Entro quest'ultimo termine deve essere riproposta l'eccezione respinta nell'udienza preliminare. (90) ((90a))"
c.p.p.,Art. 33-sexies,1.,"1. Se nell'udienza preliminare il giudice ritiene che per il reato deve procedersi con citazione diretta a giudizio pronuncia, nei casi previsti dall'articolo 550, ordinanza dì trasmissione degli atti al pubblico ministero per l'emissione del decreto di citazione a giudizio a norma dell'articolo 552."
c.p.p.,Art. 33-sexies,2.,"2. Si applicano le disposizioni previste dagli articoli 424, commi 2 e 3, 553 e 554"
c.p.p.,Art. 33-septies,1.,"1. Nel dibattimento di primo grado instaurato a seguito dell'udienza preliminare, il giudice, se ritiene che il reato appartiene alla cognizione del tribunale in composizione diversa, trasmette gli atti, con ordinanza, al giudice competente a decidere sul reato contestato."
c.p.p.,Art. 33-septies,2.,"2. Fuori dai casi previsti dal comma 1 se il giudice monocratico ritiene che il reato appartiene alla cognizione dei collegio, dispone con ordinanza la trasmissione degli atti al pubblico ministero."
c.p.p.,Art. 33-septies,3.,"3. Si applica la disposizione dell'articolo 420-ter, comma 4"
c.p.p.,Art. 33-octies,1.,"1. Il giudice di appello o la corte di cassazione pronuncia sentenza di annullamento e ordina la trasmissione degli atti al pubblico ministero presso il giudice di primo grado quando ritiene l'inosservanza delle disposizioni sull'attribuzione dei reati alla cognizione del tribunale in composizione collegiale o monocratica, purché la stessa sia stata tempestivamente eccepita e l'eccezione sia stata riproposta nei motivi di impugnazione."
c.p.p.,Art. 33-octies,2.,2. Il giudice di appello pronuncia tuttavia nel merito se ritiene che il reato appartiene alla cognizione del tribunale in composizione monocratica. (90) ((90a))
c.p.p.,Art. 34,1.,"1. Il giudice che ha pronunciato o ha concorso a pronunciare sentenza in un grado del procedimento non può esercitare funzioni di giudice negli altri gradi, né partecipare al giudizio di rinvio dopo l'annullamento o al giudizio per revisione. (126) (195) (283)"
c.p.p.,Art. 34,2.,2. Non può partecipare al giudizio il giudice che ha emesso il provvedimento conclusivo dell'udienza preliminare o ha disposto il giudizio immediato o ha emesso decreto penale di condanna o ha deciso sull'impugnazione avverso la sentenza di non luogo a procedere. (13) (27) (29) (32) (35) (41) (51) (58) (59) (64) (72) (73) (77) (80) (88) (98)(94)(104) (164) (284) ((313))
c.p.p.,Art. 34,2-bis.,"2-bis. Il giudice che nel medesimo procedimento ha esercitato funzioni di giudice per le indagini preliminari non può emettere il decreto penale di condanna, né tenere l'udienza preliminare; inoltre, anche fuori dei casi previsti dal comma 2, non può partecipare al giudizio. (90) (90a) (105)"
c.p.p.,Art. 34,2-ter.,"2-ter. Le disposizioni del comma 2-bis non si applicano al giudice che nel medesimo procedimento abbia adottato uno dei seguenti provvedimenti:
a) le autorizzazioni sanitarie previste dall'articolo 11 della legge 26 luglio 1975, n. 354;
b) i provvedimenti relativi ai permessi di colloquio, alla corrispondenza telefonica e al visto di controllo sulla corrispondenza, previsti dagli articoli 18 e 18-ter della legge 26 luglio 1975, n. 354;
c) i provvedimenti relativi ai permessi previsti dall'articolo 30 della legge 26 luglio 1975, n. 354;
d) il provvedimento di restituzione nel termine di cui all'articolo 175;
e) il provvedimento che dichiara la latitanza a norma dell'articolo 296."
c.p.p.,Art. 34,2-quater.,2-quater. Le disposizioni del comma 2-bis non si applicano inoltre al giudice che abbia provveduto all'assunzione dell'incidente probatorio o comunque adottato uno dei provvedimenti previsti dal titolo VII del libro quinto.
c.p.p.,Art. 34,3.,"3. Chi ha esercitato funzioni di pubblico ministero o ha svolto atti di polizia giudiziaria o ha prestato ufficio di difensore, di procuratore speciale, di curatore di una parte ovvero di testimone, perito, consulente tecnico o ha proposto denuncia, querela, istanza o richiesta o ha deliberato o ha concorso a deliberare l'autorizzazione a procedere non può esercitare nel medesimo procedimento l'ufficio di giudice."
c.p.p.,Art. 35,1.,"1. Nello stesso procedimento non possono esercitare funzioni, anche separate o diverse, giudici che sono tra loro coniugi, parenti o affini fino al secondo grado."
c.p.p.,Art. 36,1.,"1. Il giudice ha l'obbligo di astenersi:
a) se ha interesse nel procedimento o se alcuna delle parti private o un difensore è debitore o creditore di lui, del coniuge o dei figli;
b) se è tutore, curatore, procuratore o datore di lavoro di una delle parti private ovvero se il difensore, procuratore o curatore di una di dette parti è prossimo congiunto di lui o del coniuge;
c) se ha dato consigli o manifestato il suo parere sull'oggetto del procedimento fuori dell'esercizio delle funzioni giudiziarie;
d) se vi è inimicizia grave fra lui o un suo prossimo congiunto e una delle parti private;
e) se alcuno dei prossimi congiunti di lui o del coniuge è offeso o danneggiato dal reato o parte privata;
f) se un prossimo congiunto di lui o del coniuge svolge o ha svolto funzioni di pubblico ministero;
g) se si trova in taluna delle situazioni di incompatibilità stabilite dagli articoli 34 e 35 e dalle leggi di ordinamento giudiziario;
h) se esistono altre gravi ragioni di convenienza."
c.p.p.,Art. 36,2.,"2. I motivi di astensione indicati nel comma 1 lettera b) seconda ipotesi e lettera e) o derivanti da incompatibilità per ragioni di coniugio o affinità, sussistono anche dopo l'annullamento, lo scioglimento o la cessazione degli effetti civili del matrimonio."
c.p.p.,Art. 36,3.,3. La dichiarazione di astensione è presentata al presidente della corte o del tribunale che decide con decreto senza formalità di procedura.
c.p.p.,Art. 36,4.,4. Sulla dichiarazione di astensione del presidente del tribunale decide il presidente della corte di appello; su quella del presidente della corte di appello decide il presidente della corte di cassazione. (90) ((90a))
c.p.p.,Art. 37,1.,"1. Il giudice può essere ricusato dalle parti:
a) nei casi previsti dall'articolo 36 comma 1 lettere a), b), c), d), e), f), g);
b) se nell'esercizio delle funzioni e prima che sia pronunciata sentenza, egli ha manifestato indebitamente il proprio convincimento sui fatti oggetto dell'imputazione. ((113))"
