Domanda,Risposta 1,Risposta 2,Risposta 3
"Nel procedimento amministrativo, cosa prevede la Legge 241/1990, per come recentemente  novellata dalla legge 69/2009, in  caso di decorrenza del previsto termine senza che sia stato comunicato il parere  obbligatorio di un organo consultivo o  senza che esso abbia rappresentato esigenze istruttorie? ",Che è in facoltà dell'amministrazione richiedente di procedere indipendentemente  dall'acquisizione del parere. ,Che l'amministrazione richiedente procede indipendentemente dall'acquisizione del parere. ,Che è obbligo dell'amministrazione richiedente interrompere il procedimento e sollecitare 
"A norma del disposto di cui all'art. 9, L. 400/1988, chi può conferire al Presidente  del Consiglio dei ministri l'incarico di  reggere ad interim un Dicastero? ","Il Presidente della Repubblica, su proposta del Presidente del Consiglio dei ministri. ",Lo stesso Consiglio dei ministri. ,Il Consiglio di Gabinetto. 
"Con riferimento ai caratteri propri del provvedimento amministrativo, quale segnala che  il provvedimento non ha bisogno  del concorso della volontà dei destinatari per esistere? ",Unilateralità. ,Nominatività. ,Imperatività. 
I ricorsi amministrativi devono essere presentati all'autorità competente nel termine  perentorio previsto dalla legislazione  vigente. Indicare per quale dei seguenti ricorsi è corretto il rispettivo termine. ,Ricorso gerarchico proprio - 30 giorni. ,Ricorso gerarchico improprio - 40 giorni. ,Ricorso in opposizione - 90 giorni. 
"Ai sensi dell'art. 7 C.p.a. la giurisdizione amministrativa si articola in  giurisdizione generale di legittimità, esclusiva ed  estesa al merito. Cosa si intende per quella di legittimità? ","Sono attribuite alla giurisdizione generale di legittimità del giudice amministrativo le  controversie relative ad atti, provvedimenti o  omissioni delle pubbliche amministrazioni, comprese quelle relative al risarcimento del  danno per lesione di interessi legittimi e agli  altri diritti patrimoniali consequenziali, pure se introdotte in via autonoma. ","Nella giurisdizione generale di legittimità il giudice amministrativo conosce, pure ai  fini risarcitori, anche delle controversie nelle  quali si faccia questione di diritti soggettivi. ",Il giudice amministrativo esercita giurisdizione generale di legittimità nelle 
"Con riferimento ai provvedimenti amministrativi di II grado, la proroga: ",Ricorre quando l'Amministrazione differisce il termine di efficacia di un precedente  provvedimento. ,Implica uno spostamento del termine finale di efficacia e presuppone che il rapporto sia  già scaduto. ,"Ricorre quando l'Amministrazione, con provvedimento specifico, preclude ad un atto di "
Le pronunce definitive del giudice possono essere di merito (art. 34 c.p.a.) o di rito  (art. 35 c.p.a.). Quale tra le seguenti è una  pronuncia di merito? ,"L'ordine impartito all'amministrazione, rimasta inerte, di provvedere entro un termine. ","L'improcedibilità del ricorso, quando nel corso del giudizio sopravvenga un difetto di  interesse delle parti alla decisione. ","L'irricevibilità del ricorso, in caso di tardiva notifica o deposito. "
"L'art. 16 della l. n. 241/1990 quale termine prevede, dal ricevimento della richiesta  formale, per il rilascio dei pareri  obbligatori? ",20 giorni. ,45 giorni. ,15 giorni. 
"I requisiti d'efficacia dell'atto amministrativo, sono richiesti affinché l'atto già  perfetto, possa produrre i suoi effetti. Tra essi  rientrano: ",Il verificarsi della condizione sospensiva e del termine. ,Il rispetto dei precetti di logica e imparzialità. ,I presupposti di fatto e di diritto. 
"Per quanto riguarda il contenuto della motivazione dei provvedimenti amministrativi  l'art. 3 della l. n. 241/1990 stabilisce  che la motivazione deve indicare i presupposti di fatto e le ragioni giuridiche che hanno  determinato la decisione  dell'amministrazione, in relazione alle risultanze dell'istruttoria. I presupposti di fatto: ",Sono le situazioni fattuali individuate dall'amministrazione e da questa poste a  fondamento dei provvedimenti. ,Sono le argomentazioni di diritto che sorreggono i provvedimenti giustificando dal punto  di vista della legge le scelte  dell'amministrazione. ,Sono le argomentazioni di natura giuridica su cui l'atto è basato. 
"Il diritto di accesso ai documenti amministrativi (art. 22, l. n. 241/1990), consiste: ",Nel diritto degli interessati di prendere visione e di estrarre copia di documenti  amministrativi. ,Nel diritto per chiunque di ottenere qualsiasi informazione inerente all’attività svolta  da una pubblica amministrazione. ,Nel diritto per chiunque di prendere visione di documenti amministrativi. 
Costituisce esemplificazione di certificati di valutazione: ,Certificato di collaudo. ,Certificato di stato civile. ,Estratto di stato civile. 
"Si ha conflitto di competenza quando due o più autorità affermano o negano,  contemporaneamente, la propria potestà di  conoscere una determinata questione o materia ovvero quando esiste la sola possibilità che  sorga tale contrasto. Si ha  conflitto positivo: ",Quando due (o più) autorità affermano la propria competenza. ,Quando due o più autorità negano la propria potestà in merito ad una questione. ,Quando due (o più) autorità si siano già pronunciate circa l'appartenenza o meno ad esse 
"A norma del disposto di cui al co. 8, art. 23, D.Lgs. n. 50/2016, quale progetto deve  essere, altresì, corredato da apposito  piano di manutenzione dell'opera e delle sue parti in relazione al ciclo di vita? ",Progetto esecutivo. ,Progetto preliminare. ,Progetto definitivo. 
Con il varo del T.U. n. 165/2001 (c.d. TUPI) è stato possibile distinguere nettamente i  poteri degli organi di governo da quelli  dei dirigenti. Agli organi di governo spetta in particolare: ,La definizione dei criteri generali in materia di ausili finanziari a terzi. ,L'adozione di atti e provvedimenti amministrativi che impegnano l'ente verso l'esterno. ,"L'organizzazione delle risorse umane. 426. Le Linee guida n. 4, di attuazione del D.Lgs. 50/2016 (Delibera ANAC n. 206/2018) "
"Nell'espletamento delle procedure semplificate di cui  all'art. 36, le stazioni appaltanti  garantiscono l'effettiva contendibilità degli affidamenti da parte dei soggetti  potenzialmente interessati in aderenza: ",Al principio di libera concorrenza. ,Al principio di proporzionalità. ,Al principio di rotazione degli inviti e degli affidamenti. 
"Indicare quale affermazione è conforme a quanto dispone il ""Capo III - Semplificazione  della documentazione  amministrativa Sezione V - Norme in materia di dichiarazioni sostitutive"" del D.P.R. n.  445/2000. ","La dichiarazione sostitutiva di atto di notorietà resa nell'interesse proprio del  dichiarante può riguardare anche stati, qualità personali  e fatti relativi ad altri soggetti di cui egli abbia diretta conoscenza. ",Non può essere comprovata con dichiarazioni sottoscritte dall'interessato e prodotte in  sostituzione delle normali certificazioni la  situazione reddituale o economica ai fini della concessione dei benefìci di qualsiasi tipo  previsti da leggi speciali. ,"I certificati medici, sanitari, veterinari, di origine, di conformità CE, di marchi o "
"Ai fini della decisione, i ricorsi amministrativi accedono ad una fase istruttoria che  si articola in tre momenti essenziali:  contradditorio, raccolta delle prove, conclusione dell'istruttoria. Con riferimento alla  raccolta delle prove, indicare quale  affermazione in merito è corretta. ","Per la raccolta delle prove sono ammessi: la richiesta di documenti, la richiesta di  chiarimenti, la verificazione che deve svolgersi in  contraddittorio delle parti. ","Indipendentemente dal tipo di ricorso, l'onere della comunicazione ai controinteressati  incombe sempre sulla P.A. ","In caso di opposizione e ricorso gerarchico, l'onere delle comunicazioni ai "
"Con riferimento alla quadripartizione delle fasi del procedimento amministrativo, quale  attività è propria della fase  istruttoria? ",Elaborazione di fatti e interessi. ,Autorizzazione in funzione di controllo. ,Designazioni (vincolanti e non vincolanti) e denunce. 
Nell'ambito del procedimento amministrativo il giudice può chiedere alle parti  chiarimenti o documenti (art. 63 C.p.a)? ,"Si, può chiederli d'ufficio. ","Si, solo su istanza di parte. ","No, l'onere della prova è solo su iniziativa delle parti,. "
"Chi cura la verbalizzazione e la conservazione del registro delle deliberazioni del  Consiglio dei ministri (art. 4, L. 400/1988)? ",Il sottosegretario di Stato alla Presidenza del Consiglio dei ministri. ,Il segretario generale della Presidenza del Consiglio dei ministri. ,Uno dei Ministri senza portafoglio. 
"Con riferimento alla quadripartizione delle fasi del procedimento amministrativo, la  fase integrativa dell'efficacia: ","È un momento solo eventuale, ricorrente nelle sole ipotesi in cui sia la stessa legge a  non ritenere sufficiente la perfezione dell'atto,  richiedendo il compimento di ulteriori e successivi atti od operazioni. ",È diretta ad acquisire e valutare i singoli dati pertinenti e rilevanti ai fini  dell'emanazione del provvedimento. ,È la fase in cui prende avvio il procedimento. 
Gli elementi accidentali sono apponibili ai provvedimenti amministrativi? ,"Si, sono apponibili termini, condizioni e riserve. B) No, la legge sul procedimento amministrativo lo esclude espressamente.  C) Sono apponibili solo i termini.  434. Con riferimento alla quadripartizione delle fasi del procedimento amministrativo, la  fase istruttoria:  È diretta ad acquisire e valutare i singoli dati pertinenti e rilevanti ai fini  dell'emanazione del provvedimento. ",È la fase in cui prende avvio il procedimento. ,È la fase deliberativa del procedimento. 
Il preavviso di provvedimento di diniego di cui all'art. 10bis l.n. 241/1990: ,È un atto endoprocedimentale non autonomamente impugnabile. ,È un istituto applicabile anche ai provvedimenti in materia previdenziale ed  assistenziale sorti a seguito di istanza di parte e gestiti  dagli enti previdenziali. ,È applicabile anche ai ricorsi amministrativi. 
La generalizzazione dell'obbligo di motivazione dei provvedimenti amministrativi  costituisce una delle principali novità  della l. n. 241/1990. Ai sensi dell'art. 3 l'obbligo è espressamente previsto: ,Per gli atti concernenti lo svolgimento di pubblici concorsi. ,Per gli atti normativi. ,Per gli atti a contenuto generale. 
"A norma di quanto prevede la legge n. 936/1986, il Consiglio Nazionale dell'Economia e  del Lavoro: ",Esprime proprie valutazioni sull'andamento della congiuntura economica in sessioni  semestrali. ,È l'autorità garante in materia di contratti di lavoro. ,Svolge esclusivamente compiti istruttori al fine di approfondire singole questioni 
"I conflitti tra due o più autorità possono essere: positivi, negativi, reali, virtuali,  di attribuzione, di giurisdizione, di  competenza. Quando vi sia la possibilità che due (o più) autorità si pronuncino in maniera  discordante circa la propria  competenza a conoscere la questione: ",Si ha conflitto virtuale. ,Si ha conflitto negativo. ,Si ha conflitto di attribuzione. 
"Con riferimento alla conclusione dell'istruttoria dei ricorsi amministrativi, nel caso  di ricorso straordinario entro quanto  tempo, dalla data fissata ai controinteressati per le loro deduzioni, deve concludersi  l'istruzione? ",Entro 120 giorni. ,Entro 150 giorni. ,Entro 60 giorni. 
Le ordinanze cautelari nell'ambito del procedimento amministrativo sono impugnabili  (art. 62 C.p.a)? ,"Si, è ammesso appello al Consiglio di Stato, da proporre nel termine di trenta giorni  dalla notificazione dell'ordinanza, ovvero di  sessanta giorni dalla sua pubblicazione. ","Si, è ammesso appello al Consiglio di Stato, da proporre nel termine di sessanta giorni  dalla notificazione dell'ordinanza, ovvero di  novanta giorni dalla sua pubblicazione. ","No, non sono impugnabili. "
"Con riferimento alla gestione del personale in disponibilità, l'art. 34 del D.Lgs. n.  165/2001 dispone tra l'altro che: ","I contratti collettivi nazionali possono riservare appositi fondi per la riqualificazione  professionale del personale trasferito o collocato  in disponibilità e per favorire forme di incentivazione alla ricollocazione del personale,  in particolare mediante mobilità volontaria. ",Il personale in disponibilità è iscritto in appositi elenchi secondo l'anzianità di  servizio. ,Il personale in disponibilità iscritto negli appositi elenchi ha diritto all'indennità 
Indicare quale affermazione afferente all'azione di condanna al risarcimento è conforme  al disposto di cui all'art. 30 del  Codice del processo amministrativo. ,"Conosce esclusivamente il G.A. di ogni domanda di condanna al risarcimento di danni per  lesioni di interessi legittimi o, nelle  materie di giurisdizione esclusiva, di diritti soggettivi. ",L'azione per risarcimento del danno ingiusto derivante dalla lesione dell'interesse  legittimo può essere proposta dinnanzi al G.A.  soltanto in via autonoma. ,Il G.A. nel determinare il risarcimento del danno derivante dalla lesione di interessi 
"Dalla data del collocamento in disponibilità del dipendente, a norma del disposto di  cui all'art. 33 del D.Lgs. n. 165/2001: ",Restano sospese tutte le obbligazioni inerenti al rapporto di lavoro. ,"I periodi di godimento dell'indennità sono riconosciuti solo ai fini della determinazione  dei requisiti di accesso alla pensione, ma non  anche della misura della stessa. ",Non è riconosciuto il diritto all'assegno per il nucleo famigliare. 
La l.n. 241/1990 ha sancito il c.d. principio di contrattualità dell'azione  amministrativa. Cosa dispone in merito l'art. 11  della citata legge? ,"A garanzia dell'imparzialità e del buon andamento dell'azione amministrativa, la  stipulazione degli accordi è preceduta da una  determinazione dell'organo che sarebbe competente all'adozione del provvedimento. ","Agli accordi sostitutivi, non trovano applicazione i principi del codice civile in quanto  non compatibili, salvo che non sia previsto  diversamente. ",Gli accordi sostitutivi di provvedimenti devono essere stipulati sempre per atto scritto 
"Il comma 1, art. 16, D.Lgs. n. 165/2001 attribuisce ai dirigenti degli uffici  dirigenziali generali alcuni compiti e poteri.  Indicare quale tra i seguenti ne è escluso. ","Definizione degli obiettivi, priorità, piani, programmi e direttive generali per l'azione  amministrativa e per la gestione. ",Gestione dei rapporti sindacali e di lavoro. ,Decisioni sui ricorsi gerarchici contro gli atti e i provvedimenti amministrativi non 
"Ricorsi amministrativi: ordinari, straordinari, impugnatori, non impugnatori,  eliminatori, rinnovatori; quelli impugnatori: ","Presuppongono una manifestazione di volontà della P.A., contenuta in un atto  amministrativo, e sono rimedi di carattere generale,  mediante i quali si impugna un atto ritenuto lesivo. ","Presuppongono una manifestazione di volontà della P.A., contenuta in un atto  amministrativo, e sono rimedi di carattere eccezionale  ed atipico, mediante i quali si impugna un atto ritenuto lesivo. ",Si concretano nei ricorsi in materia doganale (D.P.R. n. 43/1973). 
Le occupazioni d'urgenza comportano l'obbligo di corrispondere un indennizzo  parametrato al periodo di utilizzo del bene? ,"Sì, come le occupazioni temporanee. ",No. I provvedimenti ablatori reali non comportano mai l'obbligo di corrispondere un  indennizzo. ,"Sì, a differenza delle occupazioni temporanee. "
Quale tra le seguenti costituisce esemplificazione di attività professionali: ,Piazza notarile. ,Esazione imposte. ,Cittadinanza. 
"Con riferimento alle situazioni giuridiche soggettive attive, costituisce  esemplificazione di onere: ",La redazione di una domanda per ottenere una autorizzazione. ,Il pagamento del debitore di una determinata somma al creditore. ,La difesa della patria. 450. Quale tra le seguenti costituisce un'ipotesi di eccesso di potere? 
Si indichi quale vizio della motivazione del provvedimento amministrativo costituisce  vizio di violazione di legge. ,Insufficienza della motivazione (ovvero quando non sono indicati tutti i profili di fatto  ed i motivi di diritto della decisione). ,Motivazione contradditoria. ,Motivazione perplessa. 
"Nell'ambito del procedimento amministrativo è possibile, sia per il ricorrente  principale sia per quello incidentale,  introdurre con motivi aggiunti nuove ragioni a sostegno delle domande già proposte, ovvero  domande nuove (art. 43  C.p.a)? ","Si, purché connesse a quelle già proposte. ","Si, anche se non connesse a quelle già proposte. ","Solo il ricorrente principale, purché connesse a quelle già proposte. "
"Ai sensi dell'art. 11 C.p.a. nel giudizio riproposto davanti al giudice amministrativo,  le prove raccolte nel processo davanti al  giudice privo di giurisdizione possono essere valutate come argomenti di prova? ","Si, sempre. ","Si, solo su istanza di parte. ","No, mai. "
La richiesta è: ,Un atto amministrativo con cui l'autorità amministrativa competente si rivolge ad altra  autorità per sollecitare l'emanazione di un atto  che altrimenti non potrebbe essere emanato. ,Un reclamo dell'interessato inteso a provocare un riesame di legittimità o di merito  degli atti della P.A. ritenuti lesivi di diritti o  interessi legittimi. ,"Una dichiarazione che viene presentata dai privati ad un'autorità amministrativa, al fine "
L'obbligo di comunicazione dell'avvio del procedimento (art. 7 l. n. 241/1990) trova  applicazione anche qualora vi sia  l'esigenza di salvaguardare la sicurezza pubblica? ,No. ,"Sì, l'obbligo di comunicazione trova sempre applicazione. ","Solo, se il procedimento è avviato e concluso dal Sindaco. "
"A norma di quanto dispone la l. n. 127/1997, fatti salvi i termini più brevi previsti  per legge, il parere del Consiglio di Stato è  reso nel termine di: ",Quarantacinque giorni dal ricevimento della richiesta. ,Quaranta giorni dal ricevimento della richiesta. ,Trenta giorni dal ricevimento della richiesta. 
In relazione al potere esecutivo il Presidente della Repubblica: ,"Adotta, nella forma del decreto del Presidente della Repubblica, i regolamenti  governativi ed i decreti legge. ",Determina le linee di indirizzo della politica internazionale e comunitaria. ,Mantiene l'unità dell'indirizzo politico ed amministrativo promuovendo e coordinando 
Le domande nel procedimento amministrativo come si introducono (art. 41 C.p.a)? ,Con ricorso al tribunale amministrativo regionale competente. ,"Con ricorso da depositarsi sempre al tribunale amministrativo regionale della regione  Lazio, sede di Roma. ",Con ricorso al Consiglio di Stato. 
"Affinché l’istante possa richiedere legittimamente l’accesso agli atti amministrativi  l’interesse oltre a essere diretto deve  essere (art. 22 comma 1, l. n. 241/1990): A) Concreto e attuale.  B) Concreto anche se non attuale.  C) Attuale anche se non concreto.  460. Tra gli atti non consistenti in manifestazioni di volontà si distinguono, tra gli  altri, gli atti ricognitivi (manifestazioni di  scienza e di conoscenza). Appartengono a tali atti: ",Le certificazioni e le verbalizzazioni. ,I giudizi sull'idoneità di candidati. ,Solo le certazioni e le notificazioni. 
"Con riferimento del processo di misurazione e valutazione della performance  organizzativa ed individuale, a quale categoria  di soggetti il comma 4, art. 14, D.Lgs. 150/2009 attribuisce il compito di verificare i  risultati e le buone pratiche di  promozione delle pari opportunità? ",OIV. ,ANAC. ,Dipartimento della Ragioneria Generale dello Stato. 
"Con riferimento al riesame con esito conservativo del provvedimento adottato, la  sanatoria: ","Non costituisce un autonomo provvedimento di riesame, ma si sostanzia in un meccanismo  mediante il quale è attuata la  conservazione del provvedimento invalido, come ad esempio il sopravvenire dei pareri o degli  atti infraprocedimentali, inizialmente  omessi. ",Può intervenire solo su atti viziati da incompetenza relativa. ,Si conclude con l'Amministrazione che ribadisce la piena validità del proprio precedente 
"Il Piano nazionale anticorruzione, di cui al comma 2-bis, art. 1, L. n. 190/2012: ","Individua i principali rischi di corruzione e i relativi rimedi e contiene l'indicazione  di obiettivi, tempi e modalità di adozione e  attuazione delle misure di contrasto alla corruzione. ",Ha durata quinquennale ed è aggiornato annualmente. ,Costituisce atto di indirizzo per le p.a. ai fini dell'adozione dei propri piani biennali 
"A norma del disposto di cui all'art. 5 co. 3, L. 400/1988, quale delle seguenti  funzioni il Presidente del Consiglio dei ministri  può delegare ad un Ministro? ",Promozione degli adempimenti di competenza governativa conseguenti alle pronunce della  Corte europea dei diritti dell'uomo  emanate nei confronti dello Stato. ,Controfirma degli atti che hanno valore o forza di legge. ,Sospensione dell'adozione di atti da parte dei Ministri competenti in ordine a questioni 
"A norma di quanto dispone l'art. 133 del C.p.a., salvo ulteriori previsioni di legge, a  chi sono devolute le controversie  relative agli atti ed ai provvedimenti che concedono aiuti di Stato in violazione dell'art.  108, paragrafo 3, del Trattato sul  funzionamento dell'Unione europea? ",Alla giurisdizione esclusiva del giudice amministrativo. ,Alla giurisdizione esclusiva del giudice ordinario. ,Alla giurisdizione esclusiva del TAR del Lazio. 
Entro quale termine e con quale strumento si propone il regolamento di competenza ai  sensi dell'art. 16 C.p.a.? ,"Con istanza notificata alle altre parti nel termine, perentorio e non soggetto a  dimezzamento, di trenta giorni dalla notificazione  ovvero di sessanta giorni dalla pubblicazione dell'ordinanza che pronuncia sulla competenza. ","Con istanza notificata alle altre parti nel termine, perentorio e non soggetto a  dimezzamento, di sessanta giorni dalla notificazione  ovvero di trenta giorni dalla pubblicazione dell'ordinanza che pronuncia sulla competenza. ",Con ricorso da depositare nel termine ordinatorio di trenta giorni dalla notificazione 
L'omissione di taluna delle comunicazioni prescritte per l'avvio del procedimento (art.  8 l.n. 241/1990): ,Può essere fatta valere solo dal soggetto nel cui interesse la comunicazione è prevista. ,Può essere fatta valere da qualunque soggetto estraneo all'amministrazione. ,Comporta in ogni caso l'illegittimità del provvedimento finale. 
La delega è: ,Un provvedimento mediante il quale la P.A. attribuisce ad altri potestà o facoltà  inerenti a diritti suoi propri. ,"Un provvedimento amministrativo mediante il quale la P.A., a seguito di una scelta  discrezionale o di un semplice accertamento, fa  sorgere nuovi obblighi giuridici a carico dei destinatari, imponendo loro determinati  comportamenti. ","Un provvedimento amministrativo tramite il quale la P.A., nell'esercizio di una attività "
Sono suscettibili di revoca i provvedimenti ad effetti istantanei e quelli interamente  eseguiti? ,No. La revoca ha ad oggetto provvedimenti amministrativi discrezionali con efficacia  durevole. ,"Sì, tutti i provvedimenti possono essere revocati. ","No, possono essere revocati solo i negozi giuridici conclusi dalla P.A. "
"A norma di quanto dispone il Codice del processo amministrativo, a chi sono devolute,  salvo ulteriori previsioni di legge, le  controversie in materia di formazione, conclusione ed esecuzione degli accordi integrativi o  sostitutivi di provvedimento  amministrativo e degli accordi tra pubbliche amministrazioni? ",Giudice amministrativo. ,Giudice ordinario. ,Corte dei conti. 
"A norma di quanto dispone l'art. 9 del D.Lgs. n. 175/2016, la violazione delle  disposizioni di cui ai commi da 1 a 5 sulla  gestione delle partecipazioni pubbliche e il contrasto con impegni assunti mediante patti  parasociali, determinano  l'invalidità delle deliberazioni degli organi della società partecipata? ","No, ferma restando la possibilità che l'esercizio del voto o la deliberazione siano  invalidate in applicazione di norme generali di diritto  privato. ","Si, in ogni caso. ",Determina invalidità solo il contrasto con impegni assunti mediante patti parasociali. 
"L'art. 7 del D.Lgs. n. 175/2016 dispone che in caso di partecipazioni statali, la  trasformazione della società e il trasferimento  della sede sociale all'estero, sono adottate con: ","D.P.C.M., su proposta del Ministro dell'economia e delle finanze di concerto con i  ministri competenti per materia, previa  deliberazione del Consiglio dei ministri. ","D.P.R. su proposta del Ministro dell'economia e delle finanze di concerto con i ministri  competenti per materia, previa deliberazione  del Consiglio dei ministri. ","D.P.C.M., su proposta del Ministro competente per materia, previa deliberazione del "
"Qualora l'interessato sia in possesso di un documento di identità o di riconoscimento  non in corso di validità, gli stati, le  qualità personali e i fatti in esso contenuti possono essere comprovati mediante esibizione  dello stesso (art. 45 D.P.R. n.  445/2000)? ","Sì, purché l'interessato dichiari, in calce alla fotocopia del documento, che i dati  contenuti nel documento non hanno subìto variazioni  dalla data del rilascio. ","No, nessuno stato, fatto o qualità personale può essere comprovato mediante esibizione di  documenti non in corso di validità. ",È sempre in facoltà dell'amministrazione prendere o meno in considerazione documenti di identità o di riconoscimento non in corso 
Il ricorso straordinario al Capo dello Stato: ,Non è esperibile contro atti stragiudiziali di diffida e messa in mora. ,"Non è generalmente proponibile nei confronti delle decisioni dell'autorità che si è  pronunciata in via gerarchica, né quando il  ricorrente si sia visto dichiarare improcedibile, per cessata materia del contendere,  l'azione promossa contro il silenzio serbato  dall'amministrazione a fronte del ricorso gerarchico, una volta intervenuta la pronuncia  espressa. ",È esperibile sia nei con confronti degli atti amministrativi definitivi sia nei confronti 
A norma del disposto di cui all'art. 30 del Codice del processo amministrativo può  essere richiesto il risarcimento del danno  in forma specifica? ,"Sì, sussistendo i presupposti previsti all'art. 2058 c.c. ","Sì, sempre. ",Nei soli casi di giurisdizione esclusiva. 
Per le partecipazioni pubbliche statali chi esercita i diritti del socio (art. 9 D.Lgs.  n. 175/2016)? ,"Il Ministero dell'economia e delle finanze, di concerto con altri Ministeri competenti  per materia. ",Il Ministero competente per materia. ,"Il Ministero dell'economia e delle finanze, di concerto con il Ministro dell'Interno e i "
Nell'ambito del procedimento amministrativo è prevista la possibilità di presentare  tardivamente memorie o documenti (art.  54 C.p.a)? ,"Si, su richiesta di parte, dal collegio, assicurando comunque il pieno rispetto del  diritto delle controparti al contraddittorio su tali atti,  qualora la produzione nel termine di legge sia risultata estremamente difficile. ","Si, su richiesta di parte, dal collegio, assicurando comunque il pieno rispetto del  diritto delle controparti al contraddittorio su tali atti e  in qualsiasi caso. ","No, devono essere depositati entro un termine perentorio. "
"Con riferimento ai provvedimenti sanzionatori, le sanzioni pecuniarie trovano la  propria disciplina nella l. n. 689/1981, che  pone una serie di principi sostanziali e procedimentali in ordine a tale specie di sanzioni.  Il principio di colpevolezza: ","Prevede che ciascuno è responsabile della propria azione od omissione, cosciente e  volontaria, sia essa dolosa o colposa. ","Comporta l'irretroattività delle fattispecie di illecito, la tassatività delle medesime  ed il divieto di applicazione analogica. ","Comporta che non può essere assoggettato a sanzione amministrativa, chi, al momento in "
"Dispone l'art. 16 della l. n. 241/1990, che gli organi consultivi delle P.A. sono  tenuti a rendere i pareri ad essi  obbligatoriamente richiesti entro 20 giorni dal ricevimento della richiesta. Se l'organo  consultivo abbia rappresentato  all'amministrazione esigenze istruttorie il suddetto termine: ",Può essere interrotto per una sola volta e il parere deve essere reso definitivamente  entro 15 giorni dalla ricezione degli elementi  istruttori. ,Può essere interrotto per più volte e il parere deve essere reso definitivamente entro e  non oltre 60 giorni dalla ricezione degli  elementi istruttori. ,"È in facoltà dell'amministrazione richiedente il parere, interrompere ed accordare un "
