Question,Answer 1,Answer 2,Answer 3
"Se il reato Ã¨ stato commesso da un minore degli anni diciotto, la sospensione puÃ² essere ordinata ex art. 163 c.p. quando:",si infligga una pena restrittiva della libertÃ  personale non superiore a tre anni,si infligga una pena restrittiva della libertÃ  personale non superiore a cinque anni,una pena pecuniaria equivalente ad una pena detentiva non superiore ai sei mesi
Se il reato Ã¨ stato commesso da chi ha compiuto gli anni settanta la sospensione ex art. 163 c.p. puo' essere ordinata quando:,si infligga una pena restrittiva della libertÃ  personale non superiore a due anni e sei mesi,si infligga una pena restrittiva della libertÃ  personale non superiore a due anni,si infligga una pena restrittiva della libertÃ  personale non superiore a due anni e dieci mesi
La sospensione condizionale della pena ex art. 164 c.p. non puÃ² essere conceduta:,al contravventore abituale,a chi ha riportato una precedente condanna per contravvenzione,allorchÃ¨ alla pena inflitta deve essere aggiunta una misura di sicurezza patrimoniale
L'imputato puo' chiedere la sospensione del processo con messa alla prova ex art. 168-bis c.p.:,nei procedimenti per reati puniti con la pena edittale detentiva non superiore nel massimo a quattro anni,nei procedimenti per reati puniti con la pena edittale detentiva non superiore nel massimo a tre anni,nei procedimenti per reati puniti con la sola pena edittale pecuniaria congiunta alla pena edittale detentiva non superiore ai sei mesi
Il lavoro di pubblica utilitÃ  ex art. 168-bis c.p. consiste in:,"una prestazione non retribuita, di durata non inferiore a dieci giorni, anche non continuativi, in favore della collettivitÃ ","una prestazione non retribuita, di durata non inferiore a quindici giorni giorni continuativi in favore della collettivitÃ ","una prestazione retribuita, di durata non inferiore a trenta giorni, anche non continuativi, in favore della collettivitÃ "
La sospensione del procedimento con messa alla prova Ã¨ revocata ex art. 168-quater c.p.:,"in caso di commissione, durante il periodo di prova, di un nuovo delitto non colposo",in caso di gravissima o lesiva trasgressione al programma di trattamento,in caso di rifiuto alla prestazione del lavoro di pubblico esercizio
La pena della multa si estingue nel termine:,di dieci anni,di cinque anni,di otto anni
La pena della reclusione si estingue col decorso di un tempo pari:,"al doppio della pena inflitta e, in ogni caso, non superiore a trenta e non inferiore a dieci anni","al doppio della pena inflitta e, in ogni caso, non superiore a venti e non inferiore a cinque anni","alla pena inflitta e, in ogni caso, non superiore a venti e non inferiore a dieci anni"
La riabilitazione Ã¨ conceduta ex art. 179 c.p.:  ,"quando siano decorsi almeno tre anni dal giorno in cui la pena principale sia stata eseguita o sia in altro modo estinta, e il condannato abbia dato prove effettive e costanti di buona condotta","quando siano decorsi almeno cinque anni dal giorno in cui la pena principale sia stata eseguita o sia in altro modo estinta, e il condannato abbia dato prove efficaci e risolutive di buona condotta","quando siano decorsi almeno quattro anni dal giorno in cui la pena principale sia stata eseguita, e il condannato abbia dato prove effettive e validate di reintegrazione"
La riabilitazione ex art. 179 c.p. non puÃ² essere conceduta quando il condannato:,"non abbia adempiuto le obbligazioni civili derivanti dal reato, salvo che dimostri di trovarsi nella impossibilitÃ  di adempierle",sia stato sottoposto ad allontanamento dalla casa familiare,sia stato sottoposto al sequestro conservativo
Lo Stato ex art. 189 c.p. ha ipoteca legale sui beni dell'imputato a garanzia del pagamento delle:,spese anticipate dal difensore e delle somme a lui dovute a titolo di onorario,"somme dovute a titolo di risarcimento del danno, escluse le spese processuali","spese sostenute da un pubblico o privato istituto sanitario, a titolo di cura e di alimenti per il colpevole infermo"
Rientra tra le misure di sicurezza non detentive:,il divieto di frequentare osterie,lâ€™allontanamento dalla casa familiare,il divieto di dimora
La libertÃ  vigilata ex art. 230 c.p. Ã¨ sempre ordinata:,quando il condannato Ã¨ ammesso alla liberazione condizionale,se Ã¨ inflitta la pena della reclusione per non meno di cinque anni,"se il contravventore abituale, non essendo piÃ¹ sottoposto a misure di sicurezza, commette un nuovo reato, anche se non necessariamente sia nuova manifestazione di abitualitÃ "
Rientra tra le misure di sicurezza patrimoniali ex art. 236 c.p; oltre quelle stabilite da particolari disposizioni di legge:,la cauzione di buona condotta,il sequestro conservativo,la caparra penitenziale
"Agli effetti della legge penale, ex art. 359 c.p; sono persone che esercitano un servizio di pubblica necessitÃ :",i privati che esercitano professioni forensi,i privati che prestando un pubblico servizio adempiono un servizio dichiarato di pubblica necessita mediante un procedimento della Pubblica Amministrazione,gli incaricati di pubblico servizio che esercitano professioni sanitarie
"Il pubblico ufficiale, il quale omette o ritarda di denunciare all'AutoritÃ  giudiziaria un reato di cui ha avuto notizia nell'esercizio o a causa delle sue funzioni, ex art. 361 c.p. Ã¨ punito:",con la multa da euro 30 a euro 516,con la reclusione fino a tre anni,con la reclusione fino a due anni
"L'incaricato di un pubblico servizio, che omette o ritarda di denunciare all'AutoritÃ  giudiziaria un reato del quale abbia avuto notizia nell'esercizio o a causa del servizio, Ã¨ punito ex art. 362 c.p.:",con la multa fino a euro 103,con la reclusione fino a un anno,con la multa fino a euro 516
Quali tra questi NON sono agenti di polizia giudiziaria ex art. 57 c.p.p.?,i sottoufficiali degli agenti di custodia,le guardie forestali,i carabinieri
Quali tra questi NON sono ufficiali di polizia giudiziaria ex art. 57 c.p.p.?,i carabinieri,i sovrintendenti,i commissari
L'ufficiale preposto ai servizi di polizia giudiziaria ex art. 59 c.p.p. Ã¨ responsabile verso:  ,il procuratore della Repubblica presso il tribunale dove ha sede il servizio dell'attivitÃ  di polizia giudiziaria svolta da lui stesso e dal personale dipendente,il questore dove ha sede il servizio dell'attivitÃ  di polizia giudiziaria svolta da lui stesso e dal personale locale,il presidente del tribunale dove ha sede il servizio dell'attivitÃ  di polizia giudiziaria svolta da lui stesso
"Se ex art. 71 c.p.p. risulta che lo stato mentale dell'imputato Ã¨ tale da impedirne la cosciente partecipazione al procedimento e che tale stato Ã¨ reversibile, il giudice con quale atto dispone la sospensione del procedimento?",Ordinanza,Decreto,Sentenza
Con l'ordinanza di sospensione del procedimento per incapacitÃ  ex art. 71 c.p.p. il giudice nomina all'imputato:,"un curatore speciale, designando di preferenza l'eventuale rappresentante legale","un curatore speciale, designando obbligatoriamente il rappresentante legale giÃ  nominato","un tutore speciale, designando di preferenza il rappresentante legale del primo procedimento"
Contro l'ordinanza di sospensione del procedimento per incapacitÃ  dell'imputato ex art. 71 c.p.p. chi NON puÃ² ricorrere per cassazione:,il curatore speciale nominato dal tribunale,il pubblico ministero,l'imputato
La dichiarazione di costituzione di parte civile ex art. 78 c.p.p. puÃ² essere:,presentata in udienza,depositata nella cancelleria del giudice entro quarantotto ore prima dell'ordinanza,depositata nella cancelleria del foro competetente per territorio
"La dichiarazione di costituzione di parte civile ex art. 78 c.p.p. deve contenere, a pena di inammissibilitÃ :",la sottoscrizione del difensore,le generalitÃ  dell'ente privato nei cui confronti viene esercitata l'azione civile,il nome e il cognome del difensore e la notifica della procura inviata
La citazione del responsabile civile ex art. 83 c.p.p. Ã¨ ordinata con:,decreto dal giudice che procede,ordinanza dal giudice che procede,convocazione dal giudice che procede
Il decreto di citazione ex art. 83 c.p.p. contiene:,l'indicazione delle domande che si fanno valere contro il responsabile civile,l'indicazione del tribunale competente per materia,la data e le sottoscrizioni del procuratore e del sostituto che lo assiste
Chi Ã¨ citato come responsabile civile ex art. 84 c.p.p.:,"puÃ² costituirsi in ogni stato e grado del processo, anche a mezzo di procuratore speciale, con dichiarazione depositata nella cancelleria del giudice che procede","deve costituirsi entro il primo grado del processo, anche a mezzo di procuratore speciale, con dichiarazione depositata nella cancelleria del giudice che procede","deve costituirsi entro il secondo grado del processo, solamente a mezzo di procuratore speciale, con dichiarazione depositata nell'ufficio del procuratore che procede"
La dichiarazione di costituzione del responsabile civile ex art. art. 84 c.p.p. deve contenere a pena di inammissibilitÃ :,il nome e il cognome del difensore,l'indicazione del procuratore della repubblica,la sottoscrizione del ricorrente
"La persona offesa dal reato, oltre ad esercitare i diritti e le facoltÃ  ad essa espressamente riconosciuti dalla legge, in ogni stato e grado del procedimento puÃ² presentare ex art. 90 c.p.p.:","memorie e, con esclusione del giudizio di cassazione, indicare elementi di prova",memorie e indicare elementi di prova in qualunque stato e grado del processo,"istanze e, con esclusione del giudizio di cassazione, indicare testimoni a discarico"
"Quando vi Ã¨ incertezza sulla minore etÃ  della persona offesa dal reato, il giudice ex art. 90 c.p.p. dispone:  ","anche di ufficio, perizia","esclusivamente su istanza di parte, procura tecnica","anche su istanza di parte, consulenza tecnica"
"Alla persona offesa, ex art. 90-bis c.p.p; sin dal primo contatto con l'autoritÃ  procedente, quale di queste informazioni NON viene fornita?",facoltÃ  di essere avvisata della richiesta di conservazione,modalitÃ  di rimborso delle spese sostenute in relazione alla partecipazione al procedimento penale,modalitÃ  di esercizio del diritto all'interpretazione e alla traduzione di atti del procedimento
L'imputato ex art. 96 c.p.p. ha diritto di nominare non piÃ¹ di:,due difensori di fiducia,un difensore di fiducia,tre difensori di fiducia
Il difensore di ufficio ex art. 97 c.p.p.:,ha l'obbligo di prestare il patrocinio e puÃ² essere sostituito solo per giustificato motivo,ha facoltÃ  di prestare il patrocinio e puÃ² essere sostituito da un collega dello stesso ufficio,ha l'obbligo di prestare il patrocinio e puÃ² essere sostituito solo per conflitto di interessi con precedenti imputati
Il difensore di ufficio cessa dalle sue funzioni ex art. 97 c.p.p. se:,viene nominato un difensore di fiducia,Ã¨ citato in giudizio dall'imputato o da un suo familiare o affine fino al 2Â°,viene sottoposto a indagine da parte dello stesso tribunale
Ai sensi dell'art. 102 c.p.p. chi puÃ² nominare un sostituto?,Il difensore di fiducia e il difensore d'ufficio,Il difensore d'ufficio,Il procuratore speciale nominato dalla parte civile
Le ispezioni e le perquisizioni negli uffici dei difensori ex art. 103 c.p.p. sono consentite solo:,per ricercare persone specificamente predeterminate,per ricercare cose indeterminate ma connesse al reato,per rilevare tracce dell'imputato
"Nell'accingersi a eseguire una ispezione, una perquisizione o un sequestro nell'ufficio di un difensore, l'autoritÃ  giudiziaria a pena di nullitÃ  avvisa ex art. 103 c.p.p.:",il consiglio dell'ordine forense del luogo perchÃ¨ il presidente o un consigliere da questo delegato possa assistere alle operazioni,l'imputato perchÃ¨ il difensore o un perito da questo delegato possa assistere alle operazioni,la parte civile perchÃ¨ il difensore o un perito da questo delegato possa assistere alle operazioni
Tra queste figure per quale NON vige il divieto di intercettazione relativa a conversazioni o comunicazioni ex art. 103 c.p.p.:,cancelliere e ausiliari,difensori,investigatori privati autorizzati
L'imputato in stato di custodia cautelare ex art. 104 c.p.p. ha diritto di conferire con il difensore:,fin dall'inizio dell'esecuzione della misura,non appena Ã¨ condotto all'interno del perimetro della casa circondariale,entro 24 ore dall'inizio dell'esecuzione della misura
"Quando Ã¨ richiesta la sottoscrizione di un atto, se la legge non dispone altrimenti, Ã¨ sufficiente ex art. 110 c.p.p.:","la scrittura di propria mano, in fine dell'atto, del nome e cognome di chi deve firmare","la scrittura di propria mano o con mezzi meccanici, in fine dell'atto a destra, del nome e cognome o di una sigla di chi deve firmare","la scrittura di propria mano, a inizio o fine dell'atto, del nome e cognome o di una sigla di chi deve firmare"
"Ai sensi dell'art. 111 c.p.p. quando la legge richiede la data di un atto, sono indicati:","il giorno, il mese, l'anno e il luogo in cui l'atto Ã¨ compiuto. L'indicazione dell'ora Ã¨ necessaria solo se espressamente descritta  ","il giorno, il mese, l'anno, il luogo e l'ora in cui l'atto Ã¨ compiuto","il giorno, il mese, l'anno e l'ora in cui l'atto Ã¨ compiuto. L'indicazione del luogo Ã¨ necessaria solo se espressamente descritta"
"Ai sensi dell'art. 112 c.p.p. quando l'originale di una sentenza o di un altro atto del procedimento, del quale occorre fare uso, Ã¨ per qualsiasi causa distrutto, smarrito o sottratto e non Ã¨ possibile recuperarlo:",la copia autentica ha valore di originale,la copia esecutiva ha valore di originale,la copia conforme ha valore di originale ed Ã¨ posta nell'archivio del tribunale competente per la causa
"Ai sensi dell'art. 116 c.p.p. durante il procedimento e dopo la sua definizione, chiunque vi abbia interesse:","puÃ² ottenere il rilascio a proprie spese di copie, estratti o certificati di singoli atti",puÃ² ottenere con richiesta preventiva di 30 giorni il rilascio a proprie spese di copie o estratti di singoli atti,puÃ² ottenere il rilascio gratuito di copie tramite il fondo tutela legale di estratti o certificati delle singole udienze
"Ai sensi dell'art. 118 c.p.p. chi puÃ² ottenere dall'autoritÃ  giudiziaria competente copie di atti di procedimenti penali e informazioni scritte sul loro contenuto, ritenute indispensabili per la prevenzione dei delitti per i quali Ã¨ obbligatorio l'arresto in flagranza?","Il ministro dell'interno, anche direttamente","Il consiglio superiore della magistratura, a mezzo di un ufficiale di polizia giudiziaria","Il presidente del consiglio, direttamente o a mezzo del personale della Direzione investigativa antimafia"
Non possono intervenire come testimoni ad atti del procedimento ex art. 120 c.p.p.:,le persone sottoposte a misure di prevenzione,le persone sottoposte a misure di sicurezza personali e patrimoniali,i minori degli anni dodici
Per le pubbliche amministrazioni la procura speciale per determinati atti ex art. 122 c.p.p.:,va solamente sottoscritta dal dirigente dell'ufficio nella circoscrizione in cui si procede e deve essere munita del sigillo dell'ufficio,Ã¨ rilasciata per scrittura privata autenticata dal dirigente dell'ufficio nella regione in cui si procede,Ã¨ rilasciata per atto pubblico dal dirigente dell'ufficio del comune in cui si procede e deve essere munita del sigillo del dipartimento
Chi tra questi NON Ã¨ tenuto a osservare le norme del codice di procedura penale anche quando l'inosservanza non importa nullitÃ  o altra sanzione processuale ex art. 124 c.p.p.?,I responsabili civili,Gli ufficiali giudiziari,I cancellieri
Quale di questi atti del giudice ex art. 125 c.p.p. Ã¨ motivato a pena di nullitÃ  nei casi in cui la motivazione Ã¨ espressamente prescritta dalla legge?,Decreto,Sospensione del procedimento,Ordinanza
"Se, regolarmente citate o convocate, alcune persone omettono senza un legittimo impedimento di comparire nel luogo, giorno e ora stabiliti il giudice puÃ² ordinarne l'accompagnamento coattivo. Chi tra quelle elencate NON ne Ã¨ soggetto ex art. 133 c.p.p.?",il responsabile civile,la persona sottoposta all'esame del perito diversa dall'imputato,il perito
"Il giudice, ex art. 133 c.p.p; oltre a ordinare l'accompagnamento coattivo degli assenti puÃ² anche condannarli:","con ordinanza, al pagamento di una somma da euro 51 a euro 516 a favore della cassa delle ammende","con decreto, al pagamento di una somma da euro 51 a euro 1024 a favore della cassa del tribunale","con ordinanza, al pagamento di una somma fino a euro 310 a favore della cassa forense"
Il verbale ex art. 134 c.p.p. Ã¨ redatto:,"in forma integrale o riassuntiva, con la stenotipia o altro strumento meccanico","in forma riassuntiva, con la stenotipia o alternativamente scrittura manuale","in forma integrale, con la stenotipia o altro strumento elettronico fonografico"
Nel verbale ex art. 136 c.p.p. quale di queste indicazioni NON compare?,"la nomina dei periti, dei consulenti tecnici e dei procuratori speciali",la menzione quando occorre dell'ora in cui Ã¨ cominciato e chiuso,la descrizione di quanto l'ausiliario ha fatto  
Ai sensi dell'art. 137 c.p.p. il verbale Ã¨:,"previa lettura, sottoscritto alla fine di ogni foglio dal pubblico ufficiale che lo ha redatto, dal giudice e dalle persone intervenute","dopo essere stato eventualmente riletto, sottoscritto alla fine di ogni foglio dallo stenografo che lo ha redatto, dal giudice e dalle persone intervenute","previa sintesi, sottoscritto all'inizio e fine di ogni foglio dal pubblico ufficiale che lo ha redatto, dal giudice e dai difensori presenti"
"Ai sensi dell'art. 141 c.p.p. quando la legge non impone la forma scritta, le parti possono fare:","personalmente o a mezzo di procuratore speciale, richieste o dichiarazioni orali attinenti al procedimento","personalmente, richieste dirette ai testimoni della parte civile o dell'imputato","esclusivamente a mezzo di procuratore speciale, richieste o dichiarazioni orali attinenti ai periti o consulenti tecnici dell'imputato"
Il verbale ex art. 142 c.p.p. Ã¨ nullo quando:,manca la sottoscrizione del pubblico ufficiale che lo ha redatto,vi Ã¨ incertezza anche relativa sulle persone intervenute,mancano le sottoscrizioni delle parti intervenute
"Nei casi di urgenza, il giudice puÃ² disporre ex art. 149 c.p.p.:","anche su richiesta di parte, che le persone diverse dall'imputato siano avvisate o convocate a mezzo del telefono a cura della cancelleria","esclusivamente su richiesta di parte, che le persone diverse dall'imputato siano avvisate o convocate a mezzo di posta elettronica certificata a cura del cancelliere","esclusivamente d'ufficio, che le persone diverse dall'imputato siano avvisate o convocate a mezzo del telefono a cura del segretario"
"Ai sensi dell'art. 154 c.p.p. se si tratta di pubbliche amministrazioni, di persone giuridiche o di enti privi di personalitÃ  giuridica, le notificazioni sono eseguite nelle forme stabilite per:",il processo civile,il processo penale,il processo amministrativo
Le notificazioni all'imputato detenuto ex art. 156 c.p.p. sono eseguite:,nel luogo di detenzione mediante consegna di copia alla persona,nel domicilio del difensore mediante consegna di copia alla persona,nel luogo di detenzione mediante consegna di copia all'ufficiale di guardia
In caso di rifiuto della ricezione della notificazione all'imputato detenuto la copia rifiutata Ã¨ consegnata ex art. 156 c.p.p.:,al direttore dell'istituto o a chi ne fa le veci,all'ufficiale di guardia,alla cancelleria del tribunale
